Title|s	GenerationId|s	GameId|s	TmSetId|s
Green	gen1	green	 
Red	gen1	red	 
Blue	gen1	blue	 
Yellow	gen1	yellow	 
Gold	gen2	gold	 
Silver	gen2	silver	 
Crystal	gen2	crystal	 
Ruby	gen3	ruby	 
Sapphire	gen3	sapphire	 
Emerald	gen3	emerald	 
Fire Red	gen3	firered	 
Leaf Green	gen3	leafgreen	 
Diamond	gen4	diamond	 
Pearl	gen4	pearl	 
Platinum	gen4	platinum	 
Heart Gold	gen4	heartgold	 
Soul Silver	gen4	soulsilver	 
Black	gen5	black	genv
White	gen5	white	genv
Black 2	gen5	black2	genv
White 2	gen5	white2	genv
Pokemon X	gen6	pkmnx	xy
Pokemon Y	gen6	pkmny	xy
Omega Ruby	gen6	omegaruby	oras
Alpha Sapphire	gen6	alphasapphire	oras
Sun	gen7	sun	
Moon	gen7	moon	
