PokedexId|s	GameId|s
national1	green
national1	red
national1	blue
national1	yellow
national2	gold
national2	silver
national2	crystal
kanto1	gold
kanto1	silver
kanto1	crystal
national3	ruby
national3	sapphire
national3	emerald
national3	firered
national3	leafgreen
hoenn3	ruby
hoenn3	sapphire
hoenn3	emerald
kanto3	firered
kanto3	leafgreen
national4	diamond
national4	pearl
national4	platinum
national4	heartgold
national4	soulsilver
sinnoh4	diamond
sinnoh4	pearl
newsinnoh4	platinum
johto4	heartgold
johto4	soulsilver
national5	black
national5	white
national5	black2
national5	white2
unova5	black
unova5	white
newunova5	black2
newunova5	white2
national6	pkmnx
national6	pkmny
national6	omegaruby
national6	alphasapphire
centralkalos6	pkmnx
centralkalos6	pkmny
coastalkalos6	pkmnx
coastalkalos6	pkmny
mountainkalos6	pkmnx
mountainkalos6	pkmny
hoenn6	omegaruby
hoenn6	alphasapphire
gen1	gold
gen1	silver
gen1	crystal
gen1	ruby
gen1	sapphire
gen1	emerald
gen1	firered
gen1	leafgreen
gen1	diamond
gen1	pearl
gen1	platinum
gen1	heartgold
gen1	soulsilver
gen1	black
gen1	white
gen1	black2
gen1	white2
gen1	pkmnx
gen1	pkmny
gen1	omegaruby
gen1	alphasapphire
gen2	gold
gen2	silver
gen2	crystal
gen2	ruby
gen2	sapphire
gen2	emerald
gen2	firered
gen2	leafgreen
gen2	diamond
gen2	pearl
gen2	platinum
gen2	heartgold
gen2	soulsilver
gen2	black
gen2	white
gen2	black2
gen2	white2
gen2	pkmnx
gen2	pkmny
gen2	omegaruby
gen2	alphasapphire
gen3	ruby
gen3	sapphire
gen3	emerald
gen3	firered
gen3	leafgreen
gen3	diamond
gen3	pearl
gen3	platinum
gen3	heartgold
gen3	soulsilver
gen3	black
gen3	white
gen3	black2
gen3	white2
gen3	pkmnx
gen3	pkmny
gen3	omegaruby
gen3	alphasapphire
gen4	diamond
gen4	pearl
gen4	platinum
gen4	heartgold
gen4	soulsilver
gen4	black
gen4	white
gen4	black2
gen4	white2
gen4	pkmnx
gen4	pkmny
gen4	omegaruby
gen4	alphasapphire
gen5	black
gen5	white
gen5	black2
gen5	white2
gen5	pkmnx
gen5	pkmny
gen5	omegaruby
gen5	alphasapphire
gen6	pkmnx
gen6	pkmny
gen6	omegaruby
gen6	alphasapphire
gen7	sun
gen7	moon
national7	sun
national7	moon
