PokemonId|s	PokedexId|s	Index|i
bulbasaur	national1	1
ivysaur	national1	2
venusaur	national1	3
charmander	national1	4
charmeleon	national1	5
charizard	national1	6
squirtle	national1	7
wartortle	national1	8
blastoise	national1	9
caterpie	national1	10
metapod	national1	11
butterfree	national1	12
weedle	national1	13
kakuna	national1	14
beedrill	national1	15
pidgey	national1	16
pidgeotto	national1	17
pidgeot	national1	18
rattata	national1	19
raticate	national1	20
spearow	national1	21
fearow	national1	22
ekans	national1	23
arbok	national1	24
pikachu	national1	25
raichu	national1	26
sandshrew	national1	27
sandslash	national1	28
nidoran_f	national1	29
nidorina	national1	30
nidoqueen	national1	31
nidoran_m	national1	32
nidorino	national1	33
nidoking	national1	34
clefairy	national1	35
clefable	national1	36
vulpix	national1	37
ninetales	national1	38
jigglypuff	national1	39
wigglytuff	national1	40
zubat	national1	41
golbat	national1	42
oddish	national1	43
gloom	national1	44
vileplume	national1	45
paras	national1	46
parasect	national1	47
venonat	national1	48
venomoth	national1	49
diglett	national1	50
dugtrio	national1	51
meowth	national1	52
persian	national1	53
psyduck	national1	54
golduck	national1	55
mankey	national1	56
primeape	national1	57
growlithe	national1	58
arcanine	national1	59
poliwag	national1	60
poliwhirl	national1	61
poliwrath	national1	62
abra	national1	63
kadabra	national1	64
alakazam	national1	65
machop	national1	66
machoke	national1	67
machamp	national1	68
bellsprout	national1	69
weepinbell	national1	70
victreebel	national1	71
tentacool	national1	72
tentacruel	national1	73
geodude	national1	74
graveler	national1	75
golem	national1	76
ponyta	national1	77
rapidash	national1	78
slowpoke	national1	79
slowbro	national1	80
magnemite	national1	81
magneton	national1	82
farfetch'd	national1	83
doduo	national1	84
dodrio	national1	85
seel	national1	86
dewgong	national1	87
grimer	national1	88
muk	national1	89
shellder	national1	90
cloyster	national1	91
gastly	national1	92
haunter	national1	93
gengar	national1	94
onix	national1	95
drowzee	national1	96
hypno	national1	97
krabby	national1	98
kingler	national1	99
voltorb	national1	100
electrode	national1	101
exeggcute	national1	102
exeggutor	national1	103
cubone	national1	104
marowak	national1	105
hitmonlee	national1	106
hitmonchan	national1	107
lickitung	national1	108
koffing	national1	109
weezing	national1	110
rhyhorn	national1	111
rhydon	national1	112
chansey	national1	113
tangela	national1	114
kangaskhan	national1	115
horsea	national1	116
seadra	national1	117
goldeen	national1	118
seaking	national1	119
staryu	national1	120
starmie	national1	121
mr. mime	national1	122
scyther	national1	123
jynx	national1	124
electabuzz	national1	125
magmar	national1	126
pinsir	national1	127
tauros	national1	128
magikarp	national1	129
gyarados	national1	130
lapras	national1	131
ditto	national1	132
eevee	national1	133
vaporeon	national1	134
jolteon	national1	135
flareon	national1	136
porygon	national1	137
omanyte	national1	138
omastar	national1	139
kabuto	national1	140
kabutops	national1	141
aerodactyl	national1	142
snorlax	national1	143
articuno	national1	144
zapdos	national1	145
moltres	national1	146
dratini	national1	147
dragonair	national1	148
dragonite	national1	149
mewtwo	national1	150
mew	national1	151
bulbasaur	national2	1
ivysaur	national2	2
venusaur	national2	3
charmander	national2	4
charmeleon	national2	5
charizard	national2	6
squirtle	national2	7
wartortle	national2	8
blastoise	national2	9
caterpie	national2	10
metapod	national2	11
butterfree	national2	12
weedle	national2	13
kakuna	national2	14
beedrill	national2	15
pidgey	national2	16
pidgeotto	national2	17
pidgeot	national2	18
rattata	national2	19
raticate	national2	20
spearow	national2	21
fearow	national2	22
ekans	national2	23
arbok	national2	24
pikachu	national2	25
raichu	national2	26
sandshrew	national2	27
sandslash	national2	28
nidoran_f	national2	29
nidorina	national2	30
nidoqueen	national2	31
nidoran_m	national2	32
nidorino	national2	33
nidoking	national2	34
clefairy	national2	35
clefable	national2	36
vulpix	national2	37
ninetales	national2	38
jigglypuff	national2	39
wigglytuff	national2	40
zubat	national2	41
golbat	national2	42
oddish	national2	43
gloom	national2	44
vileplume	national2	45
paras	national2	46
parasect	national2	47
venonat	national2	48
venomoth	national2	49
diglett	national2	50
dugtrio	national2	51
meowth	national2	52
persian	national2	53
psyduck	national2	54
golduck	national2	55
mankey	national2	56
primeape	national2	57
growlithe	national2	58
arcanine	national2	59
poliwag	national2	60
poliwhirl	national2	61
poliwrath	national2	62
abra	national2	63
kadabra	national2	64
alakazam	national2	65
machop	national2	66
machoke	national2	67
machamp	national2	68
bellsprout	national2	69
weepinbell	national2	70
victreebel	national2	71
tentacool	national2	72
tentacruel	national2	73
geodude	national2	74
graveler	national2	75
golem	national2	76
ponyta	national2	77
rapidash	national2	78
slowpoke	national2	79
slowbro	national2	80
magnemite	national2	81
magneton	national2	82
farfetch'd	national2	83
doduo	national2	84
dodrio	national2	85
seel	national2	86
dewgong	national2	87
grimer	national2	88
muk	national2	89
shellder	national2	90
cloyster	national2	91
gastly	national2	92
haunter	national2	93
gengar	national2	94
onix	national2	95
drowzee	national2	96
hypno	national2	97
krabby	national2	98
kingler	national2	99
voltorb	national2	100
electrode	national2	101
exeggcute	national2	102
exeggutor	national2	103
cubone	national2	104
marowak	national2	105
hitmonlee	national2	106
hitmonchan	national2	107
lickitung	national2	108
koffing	national2	109
weezing	national2	110
rhyhorn	national2	111
rhydon	national2	112
chansey	national2	113
tangela	national2	114
kangaskhan	national2	115
horsea	national2	116
seadra	national2	117
goldeen	national2	118
seaking	national2	119
staryu	national2	120
starmie	national2	121
mr. mime	national2	122
scyther	national2	123
jynx	national2	124
electabuzz	national2	125
magmar	national2	126
pinsir	national2	127
tauros	national2	128
magikarp	national2	129
gyarados	national2	130
lapras	national2	131
ditto	national2	132
eevee	national2	133
vaporeon	national2	134
jolteon	national2	135
flareon	national2	136
porygon	national2	137
omanyte	national2	138
omastar	national2	139
kabuto	national2	140
kabutops	national2	141
aerodactyl	national2	142
snorlax	national2	143
articuno	national2	144
zapdos	national2	145
moltres	national2	146
dratini	national2	147
dragonair	national2	148
dragonite	national2	149
mewtwo	national2	150
mew	national2	151
chikorita	national2	152
bayleef	national2	153
meganium	national2	154
cyndaquil	national2	155
quilava	national2	156
typhlosion	national2	157
totodile	national2	158
croconaw	national2	159
feraligatr	national2	160
sentret	national2	161
furret	national2	162
hoothoot	national2	163
