PokemonId|s	PokedexId|s	Index|i
anorith	national3	347
armaldo	national3	348
feebas	national3	349
milotic	national3	350
castform	national3	351
kecleon	national3	352
shuppet	national3	353
banette	national3	354
duskull	national3	355
dusclops	national3	356
tropius	national3	357
chimecho	national3	358
absol	national3	359
wynaut	national3	360
snorunt	national3	361
glalie	national3	362
spheal	national3	363
sealeo	national3	364
walrein	national3	365
clamperl	national3	366
huntail	national3	367
gorebyss	national3	368
relicanth	national3	369
luvdisc	national3	370
bagon	national3	371
shelgon	national3	372
salamence	national3	373
beldum	national3	374
metang	national3	375
metagross	national3	376
regirock	national3	377
regice	national3	378
registeel	national3	379
latias	national3	380
latios	national3	381
kyogre	national3	382
groudon	national3	383
rayquaza	national3	384
jirachi	national3	385
deoxys	national3	386
treecko	hoenn3	1
grovyle	hoenn3	2
sceptile	hoenn3	3
torchic	hoenn3	4
combusken	hoenn3	5
blaziken	hoenn3	6
mudkip	hoenn3	7
marshtomp	hoenn3	8
swampert	hoenn3	9
poochyena	hoenn3	10
mightyena	hoenn3	11
zigzagoon	hoenn3	12
linoone	hoenn3	13
wurmple	hoenn3	14
silcoon	hoenn3	15
beautifly	hoenn3	16
cascoon	hoenn3	17
dustox	hoenn3	18
lotad	hoenn3	19
lombre	hoenn3	20
ludicolo	hoenn3	21
seedot	hoenn3	22
nuzleaf	hoenn3	23
shiftry	hoenn3	24
taillow	hoenn3	25
swellow	hoenn3	26
wingull	hoenn3	27
pelipper	hoenn3	28
ralts	hoenn3	29
kirlia	hoenn3	30
gardevoir	hoenn3	31
surskit	hoenn3	32
masquerain	hoenn3	33
shroomish	hoenn3	34
breloom	hoenn3	35
slakoth	hoenn3	36
vigoroth	hoenn3	37
slaking	hoenn3	38
abra	hoenn3	39
kadabra	hoenn3	40
alakazam	hoenn3	41
nincada	hoenn3	42
ninjask	hoenn3	43
shedinja	hoenn3	44
whismur	hoenn3	45
loudred	hoenn3	46
exploud	hoenn3	47
makuhita	hoenn3	48
hariyama	hoenn3	49
goldeen	hoenn3	50
seaking	hoenn3	51
magikarp	hoenn3	52
gyarados	hoenn3	53
azurill	hoenn3	54
marill	hoenn3	55
azumarill	hoenn3	56
geodude	hoenn3	57
graveler	hoenn3	58
golem	hoenn3	59
nosepass	hoenn3	60
skitty	hoenn3	61
delcatty	hoenn3	62
zubat	hoenn3	63
golbat	hoenn3	64
crobat	hoenn3	65
tentacool	hoenn3	66
tentacruel	hoenn3	67
sableye	hoenn3	68
mawile	hoenn3	69
aron	hoenn3	70
lairon	hoenn3	71
aggron	hoenn3	72
machop	hoenn3	73
machoke	hoenn3	74
machamp	hoenn3	75
meditite	hoenn3	76
medicham	hoenn3	77
electrike	hoenn3	78
manectric	hoenn3	79
plusle	hoenn3	80
minun	hoenn3	81
magnemite	hoenn3	82
magneton	hoenn3	83
voltorb	hoenn3	84
electrode	hoenn3	85
volbeat	hoenn3	86
illumise	hoenn3	87
oddish	hoenn3	88
gloom	hoenn3	89
vileplume	hoenn3	90
bellossom	hoenn3	91
doduo	hoenn3	92
dodrio	hoenn3	93
roselia	hoenn3	94
gulpin	hoenn3	95
swalot	hoenn3	96
carvanha	hoenn3	97
sharpedo	hoenn3	98
wailmer	hoenn3	99
wailord	hoenn3	100
numel	hoenn3	101
camerupt	hoenn3	102
slugma	hoenn3	103
magcargo	hoenn3	104
torkoal	hoenn3	105
grimer	hoenn3	106
muk	hoenn3	107
koffing	hoenn3	108
weezing	hoenn3	109
spoink	hoenn3	110
grumpig	hoenn3	111
sandshrew	hoenn3	112
sandslash	hoenn3	113
spinda	hoenn3	114
skarmory	hoenn3	115
trapinch	hoenn3	116
vibrava	hoenn3	117
flygon	hoenn3	118
cacnea	hoenn3	119
cacturne	hoenn3	120
swablu	hoenn3	121
altaria	hoenn3	122
zangoose	hoenn3	123
seviper	hoenn3	124
lunatone	hoenn3	125
solrock	hoenn3	126
barboach	hoenn3	127
whiscash	hoenn3	128
corphish	hoenn3	129
crawdaunt	hoenn3	130
baltoy	hoenn3	131
claydol	hoenn3	132
lileep	hoenn3	133
cradily	hoenn3	134
anorith	hoenn3	135
armaldo	hoenn3	136
igglybuff	hoenn3	137
jigglypuff	hoenn3	138
wigglytuff	hoenn3	139
feebas	hoenn3	140
milotic	hoenn3	141
castform	hoenn3	142
staryu	hoenn3	143
starmie	hoenn3	144
kecleon	hoenn3	145
shuppet	hoenn3	146
banette	hoenn3	147
duskull	hoenn3	148
dusclops	hoenn3	149
tropius	hoenn3	150
chimecho	hoenn3	151
absol	hoenn3	152
vulpix	hoenn3	153
ninetales	hoenn3	154
pichu	hoenn3	155
pikachu	hoenn3	156
raichu	hoenn3	157
psyduck	hoenn3	158
golduck	hoenn3	159
wynaut	hoenn3	160
wobbuffet	hoenn3	161
natu	hoenn3	162
xatu	hoenn3	163
girafarig	hoenn3	164
phanpy	hoenn3	165
donphan	hoenn3	166
pinsir	hoenn3	167
heracross	hoenn3	168
rhyhorn	hoenn3	169
rhydon	hoenn3	170
snorunt	hoenn3	171
glalie	hoenn3	172
spheal	hoenn3	173
sealeo	hoenn3	174
walrein	hoenn3	175
clamperl	hoenn3	176
huntail	hoenn3	177
gorebyss	hoenn3	178
relicanth	hoenn3	179
corsola	hoenn3	180
chinchou	hoenn3	181
lanturn	hoenn3	182
luvdisc	hoenn3	183
horsea	hoenn3	184
seadra	hoenn3	185
kingdra	hoenn3	186
bagon	hoenn3	187
shelgon	hoenn3	188
salamence	hoenn3	189
beldum	hoenn3	190
metang	hoenn3	191
metagross	hoenn3	192
regirock	hoenn3	193
regice	hoenn3	194
registeel	hoenn3	195
latias	hoenn3	196
latios	hoenn3	197
kyogre	hoenn3	198
groudon	hoenn3	199
rayquaza	hoenn3	200
jirachi	hoenn3	201
deoxys	hoenn3	202
bulbasaur	kanto3	1
ivysaur	kanto3	2
venusaur	kanto3	3
charmander	kanto3	4
charmeleon	kanto3	5
charizard	kanto3	6
squirtle	kanto3	7
wartortle	kanto3	8
blastoise	kanto3	9
caterpie	kanto3	10
metapod	kanto3	11
butterfree	kanto3	12
weedle	kanto3	13
kakuna	kanto3	14
beedrill	kanto3	15
pidgey	kanto3	16
pidgeotto	kanto3	17
pidgeot	kanto3	18
rattata	kanto3	19
raticate	kanto3	20
spearow	kanto3	21
fearow	kanto3	22
ekans	kanto3	23
arbok	kanto3	24
pikachu	kanto3	25
raichu	kanto3	26
sandshrew	kanto3	27
sandslash	kanto3	28
nidoran_f	kanto3	29
nidorina	kanto3	30
nidoqueen	kanto3	31
nidoran_m	kanto3	32
nidorino	kanto3	33
nidoking	kanto3	34
clefairy	kanto3	35
clefable	kanto3	36
vulpix	kanto3	37
ninetales	kanto3	38
jigglypuff	kanto3	39
wigglytuff	kanto3	40
zubat	kanto3	41
golbat	kanto3	42
oddish	kanto3	43
gloom	kanto3	44
vileplume	kanto3	45
paras	kanto3	46
parasect	kanto3	47
venonat	kanto3	48
venomoth	kanto3	49
diglett	kanto3	50
dugtrio	kanto3	51
meowth	kanto3	52
persian	kanto3	53
psyduck	kanto3	54
golduck	kanto3	55
mankey	kanto3	56
primeape	kanto3	57
growlithe	kanto3	58
arcanine	kanto3	59
poliwag	kanto3	60
poliwhirl	kanto3	61
poliwrath	kanto3	62
abra	kanto3	63
kadabra	kanto3	64
alakazam	kanto3	65
machop	kanto3	66
machoke	kanto3	67
machamp	kanto3	68
bellsprout	kanto3	69
weepinbell	kanto3	70
victreebel	kanto3	71
tentacool	kanto3	72
tentacruel	kanto3	73
geodude	kanto3	74
graveler	kanto3	75
golem	kanto3	76
ponyta	kanto3	77
rapidash	kanto3	78
slowpoke	kanto3	79
slowbro	kanto3	80
magnemite	kanto3	81
magneton	kanto3	82
farfetch'd	kanto3	83
doduo	kanto3	84
dodrio	kanto3	85
seel	kanto3	86
dewgong	kanto3	87
grimer	kanto3	88
muk	kanto3	89
shellder	kanto3	90
cloyster	kanto3	91
gastly	kanto3	92
haunter	kanto3	93
gengar	kanto3	94
onix	kanto3	95
drowzee	kanto3	96
hypno	kanto3	97
krabby	kanto3	98
kingler	kanto3	99
voltorb	kanto3	100
electrode	kanto3	101
exeggcute	kanto3	102
exeggutor	kanto3	103
cubone	kanto3	104
marowak	kanto3	105
hitmonlee	kanto3	106
hitmonchan	kanto3	107
lickitung	kanto3	108
koffing	kanto3	109
weezing	kanto3	110
rhyhorn	kanto3	111
rhydon	kanto3	112
chansey	kanto3	113
tangela	kanto3	114
kangaskhan	kanto3	115
horsea	kanto3	116
seadra	kanto3	117
goldeen	kanto3	118
seaking	kanto3	119
staryu	kanto3	120
starmie	kanto3	121
mr. mime	kanto3	122
scyther	kanto3	123
jynx	kanto3	124
electabuzz	kanto3	125
magmar	kanto3	126
pinsir	kanto3	127
tauros	kanto3	128
magikarp	kanto3	129
gyarados	kanto3	130
lapras	kanto3	131
ditto	kanto3	132
eevee	kanto3	133
vaporeon	kanto3	134
jolteon	kanto3	135
flareon	kanto3	136
porygon	kanto3	137
omanyte	kanto3	138
omastar	kanto3	139
kabuto	kanto3	140
kabutops	kanto3	141
aerodactyl	kanto3	142
snorlax	kanto3	143
articuno	kanto3	144
zapdos	kanto3	145
moltres	kanto3	146
dratini	kanto3	147
dragonair	kanto3	148
dragonite	kanto3	149
mewtwo	kanto3	150
mew	kanto3	151
bulbasaur	national4	1
ivysaur	national4	2
venusaur	national4	3
charmander	national4	4
charmeleon	national4	5
charizard	national4	6
squirtle	national4	7
wartortle	national4	8
blastoise	national4	9
caterpie	national4	10
metapod	national4	11
butterfree	national4	12
weedle	national4	13
kakuna	national4	14
beedrill	national4	15
pidgey	national4	16
pidgeotto	national4	17
pidgeot	national4	18
rattata	national4	19
raticate	national4	20
spearow	national4	21
fearow	national4	22
ekans	national4	23
arbok	national4	24
pikachu	national4	25
raichu	national4	26
sandshrew	national4	27
sandslash	national4	28
nidoran_f	national4	29
nidorina	national4	30
nidoqueen	national4	31
nidoran_m	national4	32
nidorino	national4	33
nidoking	national4	34
clefairy	national4	35
clefable	national4	36
vulpix	national4	37
ninetales	national4	38
jigglypuff	national4	39
wigglytuff	national4	40
zubat	national4	41
golbat	national4	42
oddish	national4	43
gloom	national4	44
vileplume	national4	45
paras	national4	46
parasect	national4	47
venonat	national4	48
venomoth	national4	49
diglett	national4	50
dugtrio	national4	51
meowth	national4	52
persian	national4	53
psyduck	national4	54
golduck	national4	55
mankey	national4	56
primeape	national4	57
growlithe	national4	58
arcanine	national4	59
poliwag	national4	60
poliwhirl	national4	61
poliwrath	national4	62
abra	national4	63
kadabra	national4	64
alakazam	national4	65
machop	national4	66
machoke	national4	67
machamp	national4	68
bellsprout	national4	69
weepinbell	national4	70
victreebel	national4	71
tentacool	national4	72
tentacruel	national4	73
geodude	national4	74
graveler	national4	75
golem	national4	76
ponyta	national4	77
rapidash	national4	78
slowpoke	national4	79
slowbro	national4	80
magnemite	national4	81
magneton	national4	82
farfetch'd	national4	83
doduo	national4	84
dodrio	national4	85
seel	national4	86
dewgong	national4	87
grimer	national4	88
muk	national4	89
shellder	national4	90
cloyster	national4	91
gastly	national4	92
haunter	national4	93
gengar	national4	94
onix	national4	95
drowzee	national4	96
hypno	national4	97
krabby	national4	98
kingler	national4	99
voltorb	national4	100
electrode	national4	101
exeggcute	national4	102
exeggutor	national4	103
cubone	national4	104
marowak	national4	105
hitmonlee	national4	106
hitmonchan	national4	107
lickitung	national4	108
koffing	national4	109
weezing	national4	110
rhyhorn	national4	111
rhydon	national4	112
chansey	national4	113
tangela	national4	114
kangaskhan	national4	115
horsea	national4	116
seadra	national4	117
goldeen	national4	118
seaking	national4	119
staryu	national4	120
starmie	national4	121
mr. mime	national4	122
scyther	national4	123
jynx	national4	124
electabuzz	national4	125
magmar	national4	126
pinsir	national4	127
tauros	national4	128
magikarp	national4	129
gyarados	national4	130
lapras	national4	131
ditto	national4	132
eevee	national4	133
vaporeon	national4	134
jolteon	national4	135
flareon	national4	136
porygon	national4	137
omanyte	national4	138
omastar	national4	139
kabuto	national4	140
kabutops	national4	141
aerodactyl	national4	142
snorlax	national4	143
articuno	national4	144
zapdos	national4	145
moltres	national4	146
dratini	national4	147
dragonair	national4	148
dragonite	national4	149
mewtwo	national4	150
mew	national4	151
chikorita	national4	152
bayleef	national4	153
meganium	national4	154
cyndaquil	national4	155
quilava	national4	156
typhlosion	national4	157
totodile	national4	158
croconaw	national4	159
feraligatr	national4	160
sentret	national4	161
furret	national4	162
hoothoot	national4	163
noctowl	national4	164
ledyba	national4	165
ledian	national4	166
spinarak	national4	167
ariados	national4	168
crobat	national4	169
chinchou	national4	170
lanturn	national4	171
pichu	national4	172
cleffa	national4	173
igglybuff	national4	174
togepi	national4	175
togetic	national4	176
natu	national4	177
xatu	national4	178
mareep	national4	179
flaaffy	national4	180
ampharos	national4	181
bellossom	national4	182
marill	national4	183
azumarill	national4	184
sudowoodo	national4	185
politoed	national4	186
hoppip	national4	187
skiploom	national4	188
jumpluff	national4	189
aipom	national4	190
sunkern	national4	191
sunflora	national4	192
yanma	national4	193
wooper	national4	194
