PokemonId|s	PokedexId|s	Index|i
unown	sinnoh4	114
riolu	sinnoh4	115
lucario	sinnoh4	116
wooper	sinnoh4	117
quagsire	sinnoh4	118
wingull	sinnoh4	119
pelipper	sinnoh4	120
girafarig	sinnoh4	121
hippopotas	sinnoh4	122
hippowdon	sinnoh4	123
azurill	sinnoh4	124
marill	sinnoh4	125
azumarill	sinnoh4	126
skorupi	sinnoh4	127
drapion	sinnoh4	128
croagunk	sinnoh4	129
toxicroak	sinnoh4	130
carnivine	sinnoh4	131
remoraid	sinnoh4	132
octillery	sinnoh4	133
finneon	sinnoh4	134
lumineon	sinnoh4	135
tentacool	sinnoh4	136
tentacruel	sinnoh4	137
feebas	sinnoh4	138
milotic	sinnoh4	139
mantyke	sinnoh4	140
mantine	sinnoh4	141
snover	sinnoh4	142
abomasnow	sinnoh4	143
sneasel	sinnoh4	144
weavile	sinnoh4	145
uxie	sinnoh4	146
mesprit	sinnoh4	147
azelf	sinnoh4	148
dialga	sinnoh4	149
palkia	sinnoh4	150
manaphy	sinnoh4	151
turtwig	newsinnoh4	1
grotle	newsinnoh4	2
torterra	newsinnoh4	3
chimchar	newsinnoh4	4
monferno	newsinnoh4	5
infernape	newsinnoh4	6
piplup	newsinnoh4	7
prinplup	newsinnoh4	8
empoleon	newsinnoh4	9
starly	newsinnoh4	10
staravia	newsinnoh4	11
staraptor	newsinnoh4	12
bidoof	newsinnoh4	13
bibarel	newsinnoh4	14
kricketot	newsinnoh4	15
kricketune	newsinnoh4	16
shinx	newsinnoh4	17
luxio	newsinnoh4	18
luxray	newsinnoh4	19
abra	newsinnoh4	20
kadabra	newsinnoh4	21
alakazam	newsinnoh4	22
magikarp	newsinnoh4	23
gyarados	newsinnoh4	24
budew	newsinnoh4	25
roselia	newsinnoh4	26
roserade	newsinnoh4	27
zubat	newsinnoh4	28
golbat	newsinnoh4	29
crobat	newsinnoh4	30
geodude	newsinnoh4	31
graveler	newsinnoh4	32
golem	newsinnoh4	33
onix	newsinnoh4	34
steelix	newsinnoh4	35
cranidos	newsinnoh4	36
rampardos	newsinnoh4	37
shieldon	newsinnoh4	38
bastiodon	newsinnoh4	39
machop	newsinnoh4	40
machoke	newsinnoh4	41
machamp	newsinnoh4	42
psyduck	newsinnoh4	43
golduck	newsinnoh4	44
burmy	newsinnoh4	45
wormadam	newsinnoh4	46
mothim	newsinnoh4	47
wurmple	newsinnoh4	48
silcoon	newsinnoh4	49
beautifly	newsinnoh4	50
cascoon	newsinnoh4	51
dustox	newsinnoh4	52
combee	newsinnoh4	53
vespiquen	newsinnoh4	54
pachirisu	newsinnoh4	55
buizel	newsinnoh4	56
floatzel	newsinnoh4	57
cherubi	newsinnoh4	58
cherrim	newsinnoh4	59
shellos	newsinnoh4	60
gastrodon	newsinnoh4	61
heracross	newsinnoh4	62
aipom	newsinnoh4	63
ambipom	newsinnoh4	64
drifloon	newsinnoh4	65
drifblim	newsinnoh4	66
buneary	newsinnoh4	67
lopunny	newsinnoh4	68
gastly	newsinnoh4	69
haunter	newsinnoh4	70
gengar	newsinnoh4	71
misdreavus	newsinnoh4	72
mismagius	newsinnoh4	73
murkrow	newsinnoh4	74
honchkrow	newsinnoh4	75
glameow	newsinnoh4	76
purugly	newsinnoh4	77
goldeen	newsinnoh4	78
seaking	newsinnoh4	79
barboach	newsinnoh4	80
whiscash	newsinnoh4	81
chingling	newsinnoh4	82
chimecho	newsinnoh4	83
stunky	newsinnoh4	84
skuntank	newsinnoh4	85
