PokemonId|s	PokedexId|s	Index|i
servine	national5	496
serperior	national5	497
tepig	national5	498
pignite	national5	499
emboar	national5	500
oshawott	national5	501
dewott	national5	502
samurott	national5	503
patrat	national5	504
watchog	national5	505
lillipup	national5	506
herdier	national5	507
stoutland	national5	508
purrloin	national5	509
liepard	national5	510
pansage	national5	511
simisage	national5	512
pansear	national5	513
simisear	national5	514
panpour	national5	515
simipour	national5	516
munna	national5	517
musharna	national5	518
pidove	national5	519
tranquill	national5	520
unfezant	national5	521
blitzle	national5	522
zebstrika	national5	523
roggenrola	national5	524
boldore	national5	525
gigalith	national5	526
woobat	national5	527
swoobat	national5	528
drilbur	national5	529
excadrill	national5	530
audino	national5	531
timburr	national5	532
gurdurr	national5	533
conkeldurr	national5	534
tympole	national5	535
palpitoad	national5	536
seismitoad	national5	537
throh	national5	538
sawk	national5	539
sewaddle	national5	540
swadloon	national5	541
leavanny	national5	542
venipede	national5	543
whirlipede	national5	544
scolipede	national5	545
cottonee	national5	546
whimsicott	national5	547
petilil	national5	548
lilligant	national5	549
basculin	national5	550
sandile	national5	551
krokorok	national5	552
krookodile	national5	553
darumaka	national5	554
darmanitan	national5	555
maractus	national5	556
dwebble	national5	557
crustle	national5	558
scraggy	national5	559
scrafty	national5	560
sigilyph	national5	561
yamask	national5	562
cofagrigus	national5	563
tirtouga	national5	564
carracosta	national5	565
archen	national5	566
archeops	national5	567
trubbish	national5	568
garbodor	national5	569
zorua	national5	570
zoroark	national5	571
minccino	national5	572
cinccino	national5	573
gothita	national5	574
gothorita	national5	575
gothitelle	national5	576
solosis	national5	577
duosion	national5	578
reuniclus	national5	579
ducklett	national5	580
swanna	national5	581
vanillite	national5	582
vanillish	national5	583
vanilluxe	national5	584
deerling	national5	585
sawsbuck	national5	586
emolga	national5	587
karrablast	national5	588
escavalier	national5	589
foongus	national5	590
amoonguss	national5	591
frillish	national5	592
jellicent	national5	593
alomomola	national5	594
joltik	national5	595
galvantula	national5	596
ferroseed	national5	597
ferrothorn	national5	598
klink	national5	599
klang	national5	600
klinklang	national5	601
tynamo	national5	602
eelektrik	national5	603
eelektross	national5	604
elgyem	national5	605
beheeyem	national5	606
litwick	national5	607
lampent	national5	608
chandelure	national5	609
axew	national5	610
fraxure	national5	611
