PokemonId|s	PokedexId|s	Index|i
torterra	national6	389
chimchar	national6	390
monferno	national6	391
infernape	national6	392
piplup	national6	393
prinplup	national6	394
empoleon	national6	395
starly	national6	396
staravia	national6	397
staraptor	national6	398
bidoof	national6	399
bibarel	national6	400
kricketot	national6	401
kricketune	national6	402
shinx	national6	403
luxio	national6	404
luxray	national6	405
budew	national6	406
roserade	national6	407
cranidos	national6	408
rampardos	national6	409
shieldon	national6	410
bastiodon	national6	411
burmy	national6	412
wormadam	national6	413
mothim	national6	414
combee	national6	415
vespiquen	national6	416
pachirisu	national6	417
buizel	national6	418
floatzel	national6	419
cherubi	national6	420
cherrim	national6	421
shellos	national6	422
gastrodon	national6	423
ambipom	national6	424
drifloon	national6	425
drifblim	national6	426
buneary	national6	427
lopunny	national6	428
mismagius	national6	429
honchkrow	national6	430
glameow	national6	431
purugly	national6	432
chingling	national6	433
stunky	national6	434
skuntank	national6	435
bronzor	national6	436
bronzong	national6	437
bonsly	national6	438
mime jr.	national6	439
happiny	national6	440
chatot	national6	441
spiritomb	national6	442
gible	national6	443
gabite	national6	444
garchomp	national6	445
munchlax	national6	446
riolu	national6	447
lucario	national6	448
hippopotas	national6	449
hippowdon	national6	450
skorupi	national6	451
drapion	national6	452
croagunk	national6	453
toxicroak	national6	454
carnivine	national6	455
finneon	national6	456
lumineon	national6	457
mantyke	national6	458
snover	national6	459
abomasnow	national6	460
weavile	national6	461
magnezone	national6	462
lickilicky	national6	463
rhyperior	national6	464
tangrowth	national6	465
electivire	national6	466
magmortar	national6	467
togekiss	national6	468
yanmega	national6	469
leafeon	national6	470
glaceon	national6	471
gliscor	national6	472
mamoswine	national6	473
porygon-z	national6	474
gallade	national6	475
probopass	national6	476
dusknoir	national6	477
froslass	national6	478
rotom	national6	479
uxie	national6	480
mesprit	national6	481
azelf	national6	482
dialga	national6	483
palkia	national6	484
heatran	national6	485
regigigas	national6	486
giratina	national6	487
cresselia	national6	488
phione	national6	489
manaphy	national6	490
darkrai	national6	491
shaymin	national6	492
arceus	national6	493
victini	national6	494
snivy	national6	495
servine	national6	496
serperior	national6	497
tepig	national6	498
pignite	national6	499
emboar	national6	500
oshawott	national6	501
dewott	national6	502
samurott	national6	503
patrat	national6	504
watchog	national6	505
lillipup	national6	506
herdier	national6	507
stoutland	national6	508
purrloin	national6	509
liepard	national6	510
