PokemonId|s	PokedexId|s	Index|i
jirachi	hoenn6	210
deoxys	hoenn6	211
bulbasaur	gen1	1
ivysaur	gen1	2
venusaur	gen1	3
charmander	gen1	4
charmeleon	gen1	5
charizard	gen1	6
squirtle	gen1	7
wartortle	gen1	8
blastoise	gen1	9
caterpie	gen1	10
metapod	gen1	11
butterfree	gen1	12
weedle	gen1	13
kakuna	gen1	14
beedrill	gen1	15
pidgey	gen1	16
pidgeotto	gen1	17
pidgeot	gen1	18
rattata	gen1	19
raticate	gen1	20
spearow	gen1	21
fearow	gen1	22
ekans	gen1	23
arbok	gen1	24
pikachu	gen1	25
raichu	gen1	26
sandshrew	gen1	27
sandslash	gen1	28
nidoran_f	gen1	29
nidorina	gen1	30
nidoqueen	gen1	31
nidoran_m	gen1	32
nidorino	gen1	33
nidoking	gen1	34
clefairy	gen1	35
clefable	gen1	36
vulpix	gen1	37
ninetales	gen1	38
jigglypuff	gen1	39
wigglytuff	gen1	40
zubat	gen1	41
golbat	gen1	42
oddish	gen1	43
gloom	gen1	44
vileplume	gen1	45
paras	gen1	46
parasect	gen1	47
venonat	gen1	48
venomoth	gen1	49
diglett	gen1	50
dugtrio	gen1	51
meowth	gen1	52
persian	gen1	53
psyduck	gen1	54
golduck	gen1	55
mankey	gen1	56
primeape	gen1	57
growlithe	gen1	58
arcanine	gen1	59
poliwag	gen1	60
poliwhirl	gen1	61
poliwrath	gen1	62
abra	gen1	63
kadabra	gen1	64
alakazam	gen1	65
machop	gen1	66
machoke	gen1	67
machamp	gen1	68
bellsprout	gen1	69
weepinbell	gen1	70
victreebel	gen1	71
tentacool	gen1	72
tentacruel	gen1	73
geodude	gen1	74
graveler	gen1	75
golem	gen1	76
ponyta	gen1	77
rapidash	gen1	78
slowpoke	gen1	79
slowbro	gen1	80
magnemite	gen1	81
magneton	gen1	82
farfetch'd	gen1	83
doduo	gen1	84
dodrio	gen1	85
seel	gen1	86
dewgong	gen1	87
grimer	gen1	88
muk	gen1	89
shellder	gen1	90
cloyster	gen1	91
gastly	gen1	92
haunter	gen1	93
gengar	gen1	94
onix	gen1	95
drowzee	gen1	96
hypno	gen1	97
krabby	gen1	98
