PokemonId|s	PokedexId|s	Index|i
taillow	national7	276
swellow	national7	277
wingull	national7	278
pelipper	national7	279
ralts	national7	280
kirlia	national7	281
gardevoir	national7	282
surskit	national7	283
masquerain	national7	284
shroomish	national7	285
breloom	national7	286
slakoth	national7	287
vigoroth	national7	288
slaking	national7	289
nincada	national7	290
ninjask	national7	291
shedinja	national7	292
whismur	national7	293
loudred	national7	294
exploud	national7	295
makuhita	national7	296
hariyama	national7	297
azurill	national7	298
nosepass	national7	299
skitty	national7	300
delcatty	national7	301
sableye	national7	302
mawile	national7	303
aron	national7	304
lairon	national7	305
aggron	national7	306
meditite	national7	307
medicham	national7	308
electrike	national7	309
manectric	national7	310
plusle	national7	311
minun	national7	312
volbeat	national7	313
illumise	national7	314
roselia	national7	315
gulpin	national7	316
swalot	national7	317
carvanha	national7	318
sharpedo	national7	319
wailmer	national7	320
wailord	national7	321
numel	national7	322
camerupt	national7	323
torkoal	national7	324
spoink	national7	325
grumpig	national7	326
spinda	national7	327
trapinch	national7	328
vibrava	national7	329
flygon	national7	330
cacnea	national7	331
cacturne	national7	332
swablu	national7	333
altaria	national7	334
zangoose	national7	335
seviper	national7	336
lunatone	national7	337
solrock	national7	338
barboach	national7	339
whiscash	national7	340
corphish	national7	341
crawdaunt	national7	342
baltoy	national7	343
claydol	national7	344
lileep	national7	345
cradily	national7	346
anorith	national7	347
armaldo	national7	348
feebas	national7	349
milotic	national7	350
castform	national7	351
kecleon	national7	352
shuppet	national7	353
banette	national7	354
duskull	national7	355
dusclops	national7	356
tropius	national7	357
chimecho	national7	358
absol	national7	359
wynaut	national7	360
snorunt	national7	361
glalie	national7	362
spheal	national7	363
sealeo	national7	364
walrein	national7	365
clamperl	national7	366
huntail	national7	367
gorebyss	national7	368
relicanth	national7	369
luvdisc	national7	370
bagon	national7	371
shelgon	national7	372
salamence	national7	373
beldum	national7	374
metang	national7	375
metagross	national7	376
regirock	national7	377
regice	national7	378
registeel	national7	379
latias	national7	380
latios	national7	381
kyogre	national7	382
groudon	national7	383
rayquaza	national7	384
jirachi	national7	385
deoxys	national7	386
turtwig	national7	387
grotle	national7	388
torterra	national7	389
chimchar	national7	390
monferno	national7	391
infernape	national7	392
piplup	national7	393
prinplup	national7	394
empoleon	national7	395
starly	national7	396
staravia	national7	397
staraptor	national7	398
bidoof	national7	399
bibarel	national7	400
kricketot	national7	401
kricketune	national7	402
shinx	national7	403
luxio	national7	404
luxray	national7	405
budew	national7	406
roserade	national7	407
cranidos	national7	408
rampardos	national7	409
shieldon	national7	410
bastiodon	national7	411
burmy	national7	412
wormadam	national7	413
mothim	national7	414
combee	national7	415
vespiquen	national7	416
pachirisu	national7	417
buizel	national7	418
floatzel	national7	419
cherubi	national7	420
cherrim	national7	421
shellos	national7	422
gastrodon	national7	423
ambipom	national7	424
drifloon	national7	425
drifblim	national7	426
buneary	national7	427
lopunny	national7	428
mismagius	national7	429
honchkrow	national7	430
glameow	national7	431
purugly	national7	432
chingling	national7	433
stunky	national7	434
skuntank	national7	435
bronzor	national7	436
bronzong	national7	437
bonsly	national7	438
mime jr.	national7	439
happiny	national7	440
chatot	national7	441
spiritomb	national7	442
gible	national7	443
gabite	national7	444
garchomp	national7	445
munchlax	national7	446
riolu	national7	447
lucario	national7	448
hippopotas	national7	449
hippowdon	national7	450
skorupi	national7	451
drapion	national7	452
croagunk	national7	453
toxicroak	national7	454
carnivine	national7	455
finneon	national7	456
lumineon	national7	457
mantyke	national7	458
snover	national7	459
abomasnow	national7	460
weavile	national7	461
magnezone	national7	462
lickilicky	national7	463
rhyperior	national7	464
tangrowth	national7	465
electivire	national7	466
magmortar	national7	467
togekiss	national7	468
yanmega	national7	469
leafeon	national7	470
glaceon	national7	471
gliscor	national7	472
mamoswine	national7	473
porygon-z	national7	474
gallade	national7	475
probopass	national7	476
dusknoir	national7	477
froslass	national7	478
rotom	national7	479
uxie	national7	480
mesprit	national7	481
azelf	national7	482
dialga	national7	483
palkia	national7	484
heatran	national7	485
regigigas	national7	486
giratina	national7	487
cresselia	national7	488
phione	national7	489
manaphy	national7	490
darkrai	national7	491
shaymin	national7	492
arceus	national7	493
victini	national7	494
snivy	national7	495
servine	national7	496
serperior	national7	497
tepig	national7	498
pignite	national7	499
emboar	national7	500
oshawott	national7	501
dewott	national7	502
samurott	national7	503
