AbilityId|s	Name|s
stench	Stench
drizzle	Drizzle
speed_boost	Speed Boost
battle_armor	Battle Armor
sturdy	Sturdy
damp	Damp
limber	Limber
sand_veil	Sand Veil
static	Static
volt_absorb	Volt Absorb
water_absorb	Water Absorb
oblivious	Oblivious
cloud_nine	Cloud Nine
compound_eyes	Compound Eyes
insomnia	Insomnia
color_change	Color Change
immunity	Immunity
flash_fire	Flash Fire
shield_dust	Shield Dust
own_tempo	Own Tempo
suction_cups	Suction Cups
intimidate	Intimidate
shadow_tag	Shadow Tag
rough_skin	Rough Skin
wonder_guard	Wonder Guard
levitate	Levitate
effect_spore	Effect Spore
synchronize	Synchronize
clear_body	Clear Body
natural_cure	Natural Cure
lightning_rod	Lightning Rod
serene_grace	Serene Grace
swift_swim	Swift Swim
chlorophyll	Chlorophyll
illuminate	Illuminate
trace	Trace
huge_power	Huge Power
poison_point	Poison Point
inner_focus	Inner Focus
magma_armor	Magma Armor
water_veil	Water Veil
magnet_pull	Magnet Pull
soundproof	Soundproof
rain_dish	Rain Dish
sand_stream	Sand Stream
pressure	Pressure
thick_fat	Thick Fat
early_bird	Early Bird
flame_body	Flame Body
run_away	Run Away
keen_eye	Keen Eye
hyper_cutter	Hyper Cutter
pickup	Pickup
truant	Truant
hustle	Hustle
cute_charm	Cute Charm
plus	Plus
minus	Minus
forecast	Forecast
sticky_hold	Sticky Hold
shed_skin	Shed Skin
guts	Guts
marvel_scale	Marvel Scale
liquid_ooze	Liquid Ooze
overgrow	Overgrow
blaze	Blaze
torrent	Torrent
swarm	Swarm
rock_head	Rock Head
drought	Drought
arena_trap	Arena Trap
vital_spirit	Vital Spirit
white_smoke	White Smoke
pure_power	Pure Power
shell_armor	Shell Armor
air_lock	Air Lock
tangled_feet	Tangled Feet
motor_drive	Motor Drive
rivalry	Rivalry
steadfast	Steadfast
snow_cloak	Snow Cloak
gluttony	Gluttony
anger_point	Anger Point
unburden	Unburden
heatproof	Heatproof
simple	Simple
dry_skin	Dry Skin
download	Download
iron_fist	Iron Fist
poison_heal	Poison Heal
adaptability	Adaptability
skill_link	Skill Link
hydration	Hydration
solar_power	Solar Power
quick_feet	Quick Feet
normalize	Normalize
sniper	Sniper
magic_guard	Magic Guard
no_guard	No Guard
stall	Stall
technician	Technician
leaf_guard	Leaf Guard
klutz	Klutz
mold_breaker	Mold Breaker
super_luck	Super Luck
aftermath	Aftermath
anticipation	Anticipation
forewarn	Forewarn
unaware	Unaware
tinted_lens	Tinted Lens
filter	Filter
slow_start	Slow Start
scrappy	Scrappy
storm_drain	Storm Drain
ice_body	Ice Body
solid_rock	Solid Rock
snow_warning	Snow Warning
honey_gather	Honey Gather
frisk	Frisk
reckless	Reckless
multitype	Multitype
flower_gift	Flower Gift
bad_dreams	Bad Dreams
pickpocket	Pickpocket
sheer_force	Sheer Force
contrary	Contrary
unnerve	Unnerve
defiant	Defiant
defeatist	Defeatist
cursed_body	Cursed Body
healer	Healer
friend_guard	Friend Guard
weak_armor	Weak Armor
heavy_metal	Heavy Metal
light_metal	Light Metal
multiscale	Multiscale
toxic_boost	Toxic Boost
flare_boost	Flare Boost
harvest	Harvest
telepathy	Telepathy
moody	Moody
overcoat	Overcoat
poison_touch	Poison Touch
regenerator	Regenerator
big_pecks	Big Pecks
sand_rush	Sand Rush
wonder_skin	Wonder Skin
analytic	Analytic
illusion	Illusion
imposter	Imposter
infiltrator	Infiltrator
mummy	Mummy
moxie	Moxie
justified	Justified
rattled	Rattled
magic_bounce	Magic Bounce
sap_sipper	Sap Sipper
prankster	Prankster
sand_force	Sand Force
iron_barbs	Iron Barbs
zen_mode	Zen Mode
victory_star	Victory Star
turboblaze	Turboblaze
teravolt	Teravolt
aroma_veil	Aroma Veil
flower_veil	Flower Veil
cheek_pouch	Cheek Pouch
protean	Protean
fur_coat	Fur Coat
magician	Magician
bulletproof	Bulletproof
competitive	Competitive
strong_jaw	Strong Jaw
refrigerate	Refrigerate
sweet_veil	Sweet Veil
stance_change	Stance Change
gale_wings	Gale Wings
mega_launcher	Mega Launcher
grass_pelt	Grass Pelt
symbiosis	Symbiosis
tough_claws	Tough Claws
pixilate	Pixilate
gooey	Gooey
aerilate	Aerilate
parental_bond	Parental Bond
dark_aura	Dark Aura
fairy_aura	Fairy Aura
aura_break	Aura Break
primordial_sea	Primordial Sea
desolate_land	Desolate Land
delta_stream	Delta Stream
