GenerationId|s	PokemonId|s
gen5	bulbasaur
gen5	charmander
gen5	squirtle
gen5	caterpie
gen5	weedle
gen5	pidgey
gen5	rattata
gen5	spearow
gen5	ekans
gen5	pichu
gen5	sandshrew
gen5	nidoran_f
gen5	cleffa
gen5	vulpix
gen5	igglybuff
gen5	zubat
gen5	oddish
gen5	paras
gen5	venonat
gen5	diglett
gen5	meowth
gen5	psyduck
gen5	mankey
gen5	growlithe
gen5	poliwag
gen5	abra
gen5	machop
gen5	bellsprout
gen5	tentacool
gen5	geodude
gen5	ponyta
gen5	slowpoke
gen5	magnemite
gen5	farfetch'd
gen5	doduo
gen5	seel
gen5	grimer
gen5	shellder
gen5	onix
gen5	drowzee
gen5	krabby
gen5	voltorb
gen5	exeggcute
gen5	cubone
gen5	tyrogue
gen5	lickitung
gen5	rhyhorn
gen5	happiny
gen5	tangela
gen5	kangaskhan
gen5	horsea
gen5	goldeen
gen5	staryu
gen5	mime jr.
gen5	scyther
gen5	smoochum
gen5	elekid
gen5	magby
gen5	pinsir
gen5	tauros
gen5	magikarp
gen5	lapras
gen5	ditto
gen5	eevee
gen5	porygon
gen5	omanyte
gen5	kabuto
gen5	aerodactyl
gen5	munchlax
gen5	dratini
gen5	mewtwo
gen5	sentret
gen5	hoothoot
gen5	ledyba
gen5	spinarak
gen5	chinchou
gen5	togepi
gen5	natu
gen5	mareep
gen5	azurill
gen5	bonsly
gen5	hoppip
gen5	aipom
gen5	sunkern
gen5	yanma
gen5	wooper
gen5	murkrow
gen5	wynaut
gen5	girafarig
gen5	pineco
gen5	dunsparce
gen5	gligar
gen5	snubbull
gen5	qwilfish
gen5	shuckle
gen5	heracross
gen5	sneasel
gen5	teddiursa
gen5	slugma
gen5	swinub
gen5	corsola
gen5	remoraid
gen5	delibird
gen5	mantyke
gen5	skarmory
gen5	houndour
gen5	phanpy
gen5	stantler
gen5	smeargle
gen5	miltank
gen5	larvitar
gen5	lugia
gen5	ho-oh
gen5	treecko
gen5	torchic
gen5	mudkip
gen5	poochyena
gen5	zigzagoon
gen5	wurmple
gen5	lotad
gen5	seedot
gen5	taillow
gen5	wingull
gen5	ralts
gen5	surskit
gen5	shroomish
gen5	nincada
gen5	whismur
gen5	makuhita
gen5	nosepass
gen5	skitty
gen5	sableye
gen5	mawile
gen5	aron
gen5	meditite
gen5	electrike
gen5	volbeat
gen5	illumise
gen5	budew
gen5	gulpin
gen5	carvanha
gen5	wailmer
gen5	numel
gen5	torkoal
gen5	spoink
gen5	spinda
gen5	trapinch
gen5	cacnea
gen5	swablu
gen5	zangoose
gen5	seviper
gen5	barboach
gen5	corphish
gen5	lileep
gen5	anorith
gen5	feebas
gen5	shuppet
gen5	tropius
gen5	absol
gen5	snorunt
gen5	spheal
gen5	clamperl
gen5	relicanth
gen5	luvdisc
gen5	bagon
gen5	beldum
gen5	turtwig
gen5	chimchar
gen5	piplup
gen5	staravia
gen5	bidoof
gen5	kricketot
gen5	shinx
gen5	cranidos
gen5	shieldon
gen5	burmy
gen5	combee
gen5	pachirisu
gen5	buizel
gen5	shellos
gen5	drifloon
gen5	buneary
gen5	glameow
gen5	stunky
gen5	bronzor
gen5	chatot
gen5	spiritomb
gen5	gible
gen5	riolu
gen5	hippopotas
gen5	skorupi
gen5	croagunk
gen5	finneon
gen5	snover
gen5	dialga
gen5	palkia
gen5	giratina
gen5	patrat
gen5	lillipup
gen5	purrloin
gen5	pansage
gen5	pansear
gen5	panpour
gen5	munna
gen5	pidove
gen5	blitzle
gen5	roggenrola
gen5	woobat
gen5	drilbur
gen5	audino
gen5	timburr
gen5	tympole
gen5	throh
gen5	sawk
gen5	sewaddle
gen5	venipede
gen5	cottonee
gen5	petilil
gen5	basculin
gen5	sandile
gen5	darumaka
gen5	maractus
gen5	dwebble
gen5	scraggy
gen5	sigilyph
gen5	tirtouga
gen5	trubbish
gen5	minccino
gen5	gothorita
gen5	solosis
gen5	ducklett
gen5	vanillite
gen5	deerling
gen5	emolga
gen5	karrablast
gen5	foongus
gen5	frillish
gen5	alomomola
gen5	joltik
gen5	klang
gen5	elgyem
gen5	axew
gen5	cubchoo
gen5	shelmet
gen5	stunfisk
gen5	mienfoo
gen5	druddigon
gen5	golett
gen5	pawniard
gen5	bouffalant
gen5	braviary
gen5	vullaby
gen5	heatmor
gen5	durant
gen5	tornadus
gen5	thundurus
gen5	landorus
gen6	bulbasaur
gen6	charmander
gen6	squirtle
gen6	caterpie
gen6	weedle
gen6	pidgey
gen6	rattata
gen6	spearow
gen6	ekans
gen6	pichu
gen6	sandshrew
gen6	nidoran_f
gen6	cleffa
gen6	vulpix
gen6	igglybuff
gen6	zubat
gen6	oddish
gen6	paras
gen6	venonat
gen6	diglett
gen6	meowth
gen6	psyduck
gen6	mankey
gen6	growlithe
gen6	poliwag
gen6	abra
gen6	machop
gen6	bellsprout
gen6	tentacool
gen6	geodude
gen6	ponyta
gen6	slowpoke
gen6	magnemite
gen6	farfetch'd
gen6	doduo
gen6	seel
gen6	grimer
gen6	shellder
gen6	onix
gen6	drowzee
gen6	krabby
gen6	voltorb
gen6	exeggcute
gen6	cubone
gen6	tyrogue
gen6	lickitung
gen6	rhyhorn
gen6	happiny
gen6	tangela
gen6	kangaskhan
gen6	horsea
gen6	goldeen
gen6	staryu
gen6	mime jr.
gen6	scyther
gen6	smoochum
gen6	elekid
gen6	magby
gen6	pinsir
gen6	tauros
gen6	magikarp
gen6	lapras
gen6	ditto
gen6	eevee
gen6	porygon
gen6	omanyte
gen6	kabuto
gen6	aerodactyl
gen6	munchlax
gen6	dratini
gen6	mewtwo
gen6	chikorita
gen6	cyndaquil
gen6	totodile
gen6	sentret
gen6	hoothoot
gen6	ledyba
gen6	spinarak
gen6	chinchou
gen6	togepi
gen6	natu
gen6	mareep
gen6	azurill
gen6	bonsly
gen6	hoppip
gen6	aipom
gen6	sunkern
gen6	yanma
gen6	wooper
gen6	murkrow
gen6	wynaut
gen6	girafarig
gen6	pineco
gen6	dunsparce
gen6	gligar
gen6	snubbull
gen6	qwilfish
gen6	shuckle
gen6	heracross
gen6	sneasel
gen6	teddiursa
gen6	slugma
gen6	swinub
gen6	corsola
gen6	remoraid
gen6	delibird
gen6	mantyke
gen6	skarmory
gen6	houndour
gen6	phanpy
gen6	stantler
gen6	smeargle
gen6	miltank
gen6	larvitar
gen6	lugia
gen6	ho-oh
gen6	treecko
gen6	torchic
gen6	mudkip
gen6	poochyena
gen6	zigzagoon
gen6	wurmple
gen6	lotad
gen6	seedot
gen6	taillow
gen6	wingull
gen6	ralts
gen6	surskit
gen6	shroomish
gen6	nincada
gen6	whismur
gen6	makuhita
gen6	nosepass
gen6	skitty
gen6	sableye
gen6	mawile
gen6	aron
gen6	meditite
gen6	electrike
gen6	plusle
gen6	minun
gen6	volbeat
gen6	illumise
gen6	budew
gen6	gulpin
gen6	carvanha
gen6	wailmer
gen6	numel
gen6	torkoal
gen6	spoink
gen6	spinda
gen6	trapinch
gen6	cacnea
gen6	swablu
gen6	zangoose
gen6	seviper
gen6	barboach
gen6	corphish
gen6	lileep
gen6	anorith
gen6	feebas
gen6	kecleon
gen6	shuppet
gen6	duskull
gen6	tropius
gen6	absol
gen6	snorunt
gen6	spheal
gen6	clamperl
gen6	relicanth
gen6	luvdisc
gen6	bagon
gen6	beldum
gen6	turtwig
gen6	chimchar
gen6	piplup
gen6	starly
gen6	bidoof
gen6	kricketot
gen6	shinx
gen6	cranidos
gen6	shieldon
gen6	burmy
gen6	combee
gen6	pachirisu
gen6	buizel
gen6	shellos
gen6	drifloon
gen6	buneary
gen6	glameow
gen6	stunky
gen6	bronzor
gen6	chatot
gen6	spiritomb
gen6	gible
gen6	riolu
gen6	hippopotas
gen6	skorupi
gen6	croagunk
gen6	finneon
gen6	snover
gen6	dialga
gen6	palkia
gen6	giratina
gen6	snivy
gen6	tepig
gen6	oshawott
gen6	patrat
gen6	lillipup
gen6	purrloin
gen6	pansage
gen6	pansear
gen6	panpour
gen6	munna
gen6	pidove
gen6	blitzle
gen6	roggenrola
gen6	woobat
gen6	drilbur
gen6	audino
gen6	timburr
gen6	tympole
gen6	throh
gen6	sawk
gen6	sewaddle
gen6	venipede
gen6	cottonee
gen6	petilil
gen6	basculin
gen6	sandile
gen6	darumaka
gen6	maractus
gen6	dwebble
gen6	scraggy
gen6	sigilyph
gen6	tirtouga
gen6	trubbish
gen6	minccino
gen6	gothita
gen6	solosis
gen6	ducklett
gen6	vanillite
gen6	deerling
gen6	emolga
gen6	karrablast
gen6	foongus
gen6	frillish
gen6	alomomola
gen6	joltik
gen6	ferrothorn
gen6	klink
gen6	elgyem
gen6	litwick
gen6	axew
gen6	cubchoo
gen6	shelmet
gen6	stunfisk
gen6	mienfoo
gen6	druddigon
gen6	golett
gen6	pawniard
gen6	bouffalant
gen6	rufflet
gen6	vullaby
gen6	heatmor
gen6	durant
gen6	larvesta
gen6	tornadus
gen6	thundurus
gen6	landorus
gen6	chespin
gen6	fennekin
gen6	froakie
gen6	bunnelby
gen6	fletchling
gen6	scatterbug
gen6	litleo
gen6	flabebe
gen6	skiddo
gen6	pancham
gen6	espurr
gen6	spritzee
gen6	swirlix
gen6	inkay
gen6	binacle
gen6	skrelp
gen6	helioptile
gen6	tyrunt
gen6	amaura
gen6	hawlucha
gen6	dedenne
gen6	carbink
gen6	goomy
gen6	klefki
gen6	phantump
gen6	pumpkaboo
gen6	bergmite
gen6	noibat
