Note|s	PokemonId|s	Index|i	AbilityId|s	AbilitySetId|s	GenerationId|s
	bulbasaur	1	chlorophyll	bulbasaur	gen5
	ivysaur	2	chlorophyll	bulbasaur	gen5
	venusaur	3	chlorophyll	bulbasaur	gen5
	charmander	1	solar_power	charmander	gen5
	charmeleon	2	solar_power	charmander	gen5
	charizard	3	solar_power	charmander	gen5
	squirtle	1	rain_dish	squirtle	gen5
	wartortle	2	rain_dish	squirtle	gen5
	blastoise	3	rain_dish	squirtle	gen5
	caterpie	1	run_away	caterpie	gen5
	butterfree	2	tinted_lens	caterpie	gen5
	weedle	1	run_away	weedle	gen5
	beedrill	2	sniper	weedle	gen5
	pidgey	1	big_pecks	pidgey	gen5
	pidgeotto	2	big_pecks	pidgey	gen5
	pidgeot	3	big_pecks	pidgey	gen5
	rattata	1	hustle	rattata	gen5
	raticate	2	hustle	rattata	gen5
	spearow	1	sniper	spearow	gen5
	fearow	2	sniper	spearow	gen5
	ekans	1	unnerve	ekans	gen5
	arbok	2	unnerve	ekans	gen5
	pichu	1	lightning_rod	pichu	gen5
	pikachu	2	lightning_rod	pichu	gen5
	raichu	3	lightning_rod	pichu	gen5
	sandshrew	1	sand_rush	sandshrew	gen5
	sandslash	2	sand_rush	sandshrew	gen5
	nidoran_f	1	hustle	nidoran_f	gen5
(Cannot breed)	nidorina	2	hustle	nidoran_f	gen5
(Cannot breed)	nidoqueen	3	sheer_force	nidoran_f	gen5
	nidoran_m	4	hustle	nidoran_f	gen5
	nidorino	5	hustle	nidoran_f	gen5
	nidoking	6	sheer_force	nidoran_f	gen5
	cleffa	1	friend_guard	cleffa	gen5
	clefairy	2	friend_guard	cleffa	gen5
	clefable	3	unaware	cleffa	gen5
	vulpix	1	drought	vulpix	gen5
	ninetales	2	drought	vulpix	gen5
	igglybuff	1	friend_guard	igglybuff	gen5
	jigglypuff	2	friend_guard	igglybuff	gen5
	wigglytuff	3	frisk	igglybuff	gen5
	zubat	1	infiltrator	zubat	gen5
	golbat	2	infiltrator	zubat	gen5
	crobat	3	infiltrator	zubat	gen5
	oddish	1	run_away	oddish	gen5
	gloom	2	stench	oddish	gen5
	vileplume	3	effect_spore	oddish	gen5
	bellossom	4	healer	oddish	gen5
	paras	1	damp	paras	gen5
	parasect	2	damp	paras	gen5
	venonat	1	run_away	venonat	gen5
	venomoth	2	wonder_skin	venonat	gen5
	diglett	1	sand_force	diglett	gen5
	dugtrio	2	sand_force	diglett	gen5
	meowth	1	unnerve	meowth	gen5
	persian	2	unnerve	meowth	gen5
	psyduck	1	swift_swim	psyduck	gen5
	golduck	2	swift_swim	psyduck	gen5
	mankey	1	defiant	mankey	gen5
	primeape	2	defiant	mankey	gen5
	growlithe	1	justified	growlithe	gen5
	arcanine	2	justified	growlithe	gen5
	poliwag	1	swift_swim	poliwag	gen5
	poliwhirl	2	swift_swim	poliwag	gen5
	poliwrath	3	swift_swim	poliwag	gen5
	politoed	4	drizzle	poliwag	gen5
	abra	1	magic_guard	abra	gen5
	kadabra	2	magic_guard	abra	gen5
	alakazam	3	magic_guard	abra	gen5
	machop	1	steadfast	machop	gen5
	machoke	2	steadfast	machop	gen5
	machamp	3	steadfast	machop	gen5
	bellsprout	1	gluttony	bellsprout	gen5
	weepinbell	2	gluttony	bellsprout	gen5
	victreebel	3	gluttony	bellsprout	gen5
	tentacool	1	rain_dish	tentacool	gen5
	tentacruel	2	rain_dish	tentacool	gen5
	geodude	1	sand_veil	geodude	gen5
	graveler	2	sand_veil	geodude	gen5
	golem	3	sand_veil	geodude	gen5
	ponyta	1	flame_body	ponyta	gen5
	rapidash	2	flame_body	ponyta	gen5
	slowpoke	1	regenerator	slowpoke	gen5
	slowbro	2	regenerator	slowpoke	gen5
	slowking	3	regenerator	slowpoke	gen5
	magnemite	1	analytic	magnemite	gen5
	magneton	2	analytic	magnemite	gen5
	magnezone	3	analytic	magnemite	gen5
	farfetch'd	1	defiant	farfetch'd	gen5
	doduo	1	tangled_feet	doduo	gen5
	dodrio	2	tangled_feet	doduo	gen5
	seel	1	ice_body	seel	gen5
	dewgong	2	ice_body	seel	gen5
	grimer	1	poison_touch	grimer	gen5
	muk	2	poison_touch	grimer	gen5
	shellder	1	overcoat	shellder	gen5
	cloyster	2	overcoat	shellder	gen5
	onix	1	weak_armor	onix	gen5
	steelix	2	sheer_force	onix	gen5
	drowzee	1	inner_focus	drowzee	gen5
	hypno	2	inner_focus	drowzee	gen5
	krabby	1	sheer_force	krabby	gen5
	kingler	2	sheer_force	krabby	gen5
	voltorb	1	aftermath	voltorb	gen5
	electrode	2	aftermath	voltorb	gen5
	exeggcute	1	harvest	exeggcute	gen5
	exeggutor	2	harvest	exeggcute	gen5
	cubone	1	battle_armor	cubone	gen5
	marowak	2	battle_armor	cubone	gen5
	tyrogue	1	vital_spirit	tyrogue	gen5
	hitmonlee	2	unburden	tyrogue	gen5
	hitmonchan	3	inner_focus	tyrogue	gen5
	hitmontop	4	steadfast	tyrogue	gen5
	lickitung	1	cloud_nine	lickitung	gen5
	lickilicky	2	cloud_nine	lickitung	gen5
	rhyhorn	1	reckless	rhyhorn	gen5
	rhydon	2	reckless	rhyhorn	gen5
	rhyperior	3	reckless	rhyhorn	gen5
	happiny	1	friend_guard	happiny	gen5
	chansey	2	healer	happiny	gen5
	blissey	3	healer	happiny	gen5
	tangela	1	regenerator	tangela	gen5
	tangrowth	2	regenerator	tangela	gen5
	kangaskhan	1	inner_focus	kangaskhan	gen5
	horsea	1	damp	horsea	gen5
	seadra	2	damp	horsea	gen5
	kingdra	3	damp	horsea	gen5
	goldeen	1	lightning_rod	goldeen	gen5
	seaking	2	lightning_rod	goldeen	gen5
	staryu	1	analytic	staryu	gen5
	starmie	2	analytic	staryu	gen5
	mime jr.	1	technician	mime jr.	gen5
	mr. mime	2	technician	mime jr.	gen5
	scyther	1	steadfast	scyther	gen5
	scizor	2	light_metal	scyther	gen5
	smoochum	1	hydration	smoochum	gen5
	jynx	2	dry_skin	smoochum	gen5
	elekid	1	vital_spirit	elekid	gen5
	electabuzz	2	vital_spirit	elekid	gen5
	electivire	3	vital_spirit	elekid	gen5
	magby	1	vital_spirit	magby	gen5
	magmar	2	vital_spirit	magby	gen5
	magmortar	3	vital_spirit	magby	gen5
	pinsir	1	moxie	pinsir	gen5
	tauros	1	sheer_force	tauros	gen5
	magikarp	1	rattled	magikarp	gen5
	gyarados	2	moxie	magikarp	gen5
	lapras	1	hydration	lapras	gen5
	ditto	1	imposter	ditto	gen5
	eevee	1	anticipation	eevee	gen5
	vaporeon	2	hydration	eevee	gen5
	jolteon	3	quick_feet	eevee	gen5
	flareon	4	guts	eevee	gen5
	espeon	5	magic_bounce	eevee	gen5
	umbreon	6	inner_focus	eevee	gen5
