Index|i	GenerationId|s	BerryId|s
1	gen3	cheri_berry
2	gen3	chesto_berry
3	gen3	pecha_berry
4	gen3	rawst_berry
5	gen3	aspear_berry
6	gen3	leppa_berry
7	gen3	oran_berry
8	gen3	persim_berry
9	gen3	lum_berry
10	gen3	sitrus_berry
11	gen3	figy_berry
12	gen3	wiki_berry
13	gen3	mago_berry
14	gen3	aguav_berry
15	gen3	iapapa_berry
16	gen3	razz_berry
17	gen3	bluk_berry
18	gen3	nanab_berry
19	gen3	wepear_berry
20	gen3	pinap_berry
21	gen3	pomeg_berry
22	gen3	kelpsy_berry
23	gen3	qualot_berry
24	gen3	hondew_berry
25	gen3	grepa_berry
26	gen3	tamato_berry
27	gen3	cornn_berry
28	gen3	magost_berry
29	gen3	rabuta_berry
30	gen3	nomel_berry
31	gen3	spelon_berry
32	gen3	pamtre_berry
33	gen3	watmel_berry
34	gen3	durin_berry
35	gen3	belue_berry
36	gen3	occa_berry
37	gen3	passho_berry
38	gen3	wacan_berry
39	gen3	rindo_berry
40	gen3	yache_berry
41	gen3	chople_berry
42	gen3	kebia_berry
43	gen3	shuca_berry
1	gen4	cheri_berry
2	gen4	chesto_berry
3	gen4	pecha_berry
4	gen4	rawst_berry
5	gen4	aspear_berry
6	gen4	leppa_berry
7	gen4	oran_berry
8	gen4	persim_berry
9	gen4	lum_berry
10	gen4	sitrus_berry
11	gen4	figy_berry
12	gen4	wiki_berry
13	gen4	mago_berry
14	gen4	aguav_berry
15	gen4	iapapa_berry
16	gen4	razz_berry
17	gen4	bluk_berry
18	gen4	nanab_berry
19	gen4	wepear_berry
20	gen4	pinap_berry
21	gen4	pomeg_berry
22	gen4	kelpsy_berry
23	gen4	qualot_berry
24	gen4	hondew_berry
25	gen4	grepa_berry
26	gen4	tamato_berry
27	gen4	cornn_berry
28	gen4	magost_berry
29	gen4	rabuta_berry
30	gen4	nomel_berry
31	gen4	spelon_berry
32	gen4	pamtre_berry
33	gen4	watmel_berry
34	gen4	durin_berry
35	gen4	belue_berry
36	gen4	occa_berry
37	gen4	passho_berry
38	gen4	wacan_berry
39	gen4	rindo_berry
40	gen4	yache_berry
41	gen4	chople_berry
42	gen4	kebia_berry
43	gen4	shuca_berry
44	gen4	coba_berry
45	gen4	payapa_berry
46	gen4	tanga_berry
47	gen4	charti_berry
48	gen4	kasib_berry
49	gen4	haban_berry
50	gen4	colbur_berry
51	gen4	babiri_berry
52	gen4	chilan_berry
53	gen4	liechi_berry
54	gen4	ganlon_berry
55	gen4	salac_berry
56	gen4	petaya_berry
57	gen4	apicot_berry
58	gen4	lansat_berry
59	gen4	starf_berry
60	gen4	enigma_berry
61	gen4	micle_berry
62	gen4	custap_berry
63	gen4	jaboca_berry
64	gen4	rowap_berry
1	gen5	cheri_berry
2	gen5	chesto_berry
3	gen5	pecha_berry
4	gen5	rawst_berry
5	gen5	aspear_berry
6	gen5	leppa_berry
7	gen5	oran_berry
8	gen5	persim_berry
9	gen5	lum_berry
10	gen5	sitrus_berry
11	gen5	figy_berry
12	gen5	wiki_berry
13	gen5	mago_berry
14	gen5	aguav_berry
15	gen5	iapapa_berry
16	gen5	razz_berry
17	gen5	bluk_berry
18	gen5	nanab_berry
19	gen5	wepear_berry
20	gen5	pinap_berry
21	gen5	pomeg_berry
22	gen5	kelpsy_berry
23	gen5	qualot_berry
24	gen5	hondew_berry
25	gen5	grepa_berry
26	gen5	tamato_berry
27	gen5	cornn_berry
28	gen5	magost_berry
29	gen5	rabuta_berry
30	gen5	nomel_berry
31	gen5	spelon_berry
32	gen5	pamtre_berry
33	gen5	watmel_berry
34	gen5	durin_berry
35	gen5	belue_berry
36	gen5	occa_berry
37	gen5	passho_berry
38	gen5	wacan_berry
39	gen5	rindo_berry
40	gen5	yache_berry
41	gen5	chople_berry
42	gen5	kebia_berry
43	gen5	shuca_berry
44	gen5	coba_berry
45	gen5	payapa_berry
46	gen5	tanga_berry
47	gen5	charti_berry
48	gen5	kasib_berry
49	gen5	haban_berry
50	gen5	colbur_berry
51	gen5	babiri_berry
52	gen5	chilan_berry
53	gen5	liechi_berry
54	gen5	ganlon_berry
55	gen5	salac_berry
56	gen5	petaya_berry
57	gen5	apicot_berry
58	gen5	lansat_berry
59	gen5	starf_berry
60	gen5	enigma_berry
61	gen5	micle_berry
62	gen5	custap_berry
63	gen5	jaboca_berry
64	gen5	rowap_berry
1	gen6	cheri_berry
2	gen6	chesto_berry
3	gen6	pecha_berry
4	gen6	rawst_berry
5	gen6	aspear_berry
6	gen6	leppa_berry
7	gen6	oran_berry
8	gen6	persim_berry
9	gen6	lum_berry
10	gen6	sitrus_berry
11	gen6	figy_berry
12	gen6	wiki_berry
13	gen6	mago_berry
14	gen6	aguav_berry
15	gen6	iapapa_berry
16	gen6	razz_berry
17	gen6	bluk_berry
18	gen6	nanab_berry
19	gen6	wepear_berry
20	gen6	pinap_berry
21	gen6	pomeg_berry
22	gen6	kelpsy_berry
23	gen6	qualot_berry
24	gen6	hondew_berry
25	gen6	grepa_berry
26	gen6	tamato_berry
27	gen6	cornn_berry
28	gen6	magost_berry
29	gen6	rabuta_berry
30	gen6	nomel_berry
31	gen6	spelon_berry
32	gen6	pamtre_berry
33	gen6	watmel_berry
34	gen6	durin_berry
35	gen6	belue_berry
36	gen6	occa_berry
37	gen6	passho_berry
38	gen6	wacan_berry
39	gen6	rindo_berry
40	gen6	yache_berry
41	gen6	chople_berry
42	gen6	kebia_berry
43	gen6	shuca_berry
44	gen6	coba_berry
45	gen6	payapa_berry
46	gen6	tanga_berry
47	gen6	charti_berry
48	gen6	kasib_berry
49	gen6	haban_berry
50	gen6	colbur_berry
51	gen6	babiri_berry
52	gen6	chilan_berry
53	gen6	liechi_berry
54	gen6	ganlon_berry
55	gen6	salac_berry
56	gen6	petaya_berry
57	gen6	apicot_berry
58	gen6	lansat_berry
59	gen6	starf_berry
60	gen6	enigma_berry
61	gen6	micle_berry
62	gen6	custap_berry
63	gen6	jaboca_berry
64	gen6	rowap_berry
65	gen6	roseli_berry
66	gen6	kee_berry
67	gen6	maranga_berry
