CollectionId|s	GameId|s
abilities	black
abilities	white
abilities	black2
abilities	white2
abilities	pkmnx
abilities	pkmny
abilities	omegaruby
abilities	alphasapphire
egggroups	gold
egggroups	silver
egggroups	crystal
egggroups	ruby
egggroups	sapphire
egggroups	emerald
egggroups	firered
egggroups	leafgreen
egggroups	diamond
egggroups	pearl
egggroups	platinum
egggroups	heartgold
egggroups	soulsilver
egggroups	black
egggroups	white
egggroups	black2
egggroups	white2
egggroups	pkmnx
egggroups	pkmny
egggroups	omegaruby
egggroups	alphasapphire
berries	ruby
berries	sapphire
berries	emerald
berries	firered
berries	leafgreen
berries	diamond
berries	pearl
berries	platinum
berries	heartgold
berries	soulsilver
berries	black
berries	white
berries	black2
berries	white2
berries	pkmnx
berries	pkmny
berries	omegaruby
berries	alphasapphire
dittos	emerald
dittos	firered
dittos	leafgreen
dittos	diamond
dittos	pearl
dittos	platinum
dittos	heartgold
dittos	soulsilver
dittos	black
dittos	white
dittos	black2
dittos	white2
dittos	pkmnx
dittos	pkmny
dittos	omegaruby
dittos	alphasapphire
tms	black
tms	white
tms	black2
tms	white2
tms	pkmnx
tms	pkmny
tms	omegaruby
tms	alphasapphire
