Name|s	MoveId|s
Pound	pound
Karate Chop	karate_chop
Double Slap	double_slap
Comet Punch	comet_punch
Mega Punch	mega_punch
Pay Day	pay_day
Fire Punch	fire_punch
Ice Punch	ice_punch
Thunder Punch	thunder_punch
Scratch	scratch
Vice Grip	vice_grip
Guillotine	guillotine
Razor Wind	razor_wind
Swords Dance	swords_dance
Cut	cut
Gust	gust
Wing Attack	wing_attack
Whirlwind	whirlwind
Fly	fly
Bind	bind
Slam	slam
Vine Whip	vine_whip
Stomp	stomp
Double Kick	double_kick
Mega Kick	mega_kick
Jump Kick	jump_kick
Rolling Kick	rolling_kick
Sand Attack	sand_attack
Headbutt	headbutt
Horn Attack	horn_attack
Fury Attack	fury_attack
Horn Drill	horn_drill
Tackle	tackle
Body Slam	body_slam
Wrap	wrap
Take Down	take_down
Thrash	thrash
Double-Edge	double-edge
Tail Whip	tail_whip
Poison Sting	poison_sting
Twineedle	twineedle
Pin Missile	pin_missile
Leer	leer
Bite	bite
Growl	growl
Roar	roar
Sing	sing
Supersonic	supersonic
Sonic Boom	sonic_boom
Disable	disable
Acid	acid
Ember	ember
Flamethrower	flamethrower
Mist	mist
Water Gun	water_gun
Hydro Pump	hydro_pump
Surf	surf
Ice Beam	ice_beam
Blizzard	blizzard
Psybeam	psybeam
Bubble Beam	bubble_beam
Aurora Beam	aurora_beam
Hyper Beam	hyper_beam
Peck	peck
Drill Peck	drill_peck
Submission	submission
Low Kick	low_kick
Counter	counter
Seismic Toss	seismic_toss
Strength	strength
Absorb	absorb
Mega Drain	mega_drain
Leech Seed	leech_seed
Growth	growth
Razor Leaf	razor_leaf
Solar Beam	solar_beam
Poison Powder	poison_powder
Stun Spore	stun_spore
Sleep Powder	sleep_powder
Petal Dance	petal_dance
String Shot	string_shot
Dragon Rage	dragon_rage
Fire Spin	fire_spin
Thunder Shock	thunder_shock
Thunderbolt	thunderbolt
Thunder Wave	thunder_wave
Thunder	thunder
Rock Throw	rock_throw
Earthquake	earthquake
Fissure	fissure
Dig	dig
Toxic	toxic
Confusion	confusion
Psychic	psychic
Hypnosis	hypnosis
Meditate	meditate
Agility	agility
Quick Attack	quick_attack
Rage	rage
Teleport	teleport
Night Shade	night_shade
Mimic	mimic
Screech	screech
Double Team	double_team
Recover	recover
Harden	harden
Minimize	minimize
Smokescreen	smokescreen
Confuse Ray	confuse_ray
Withdraw	withdraw
Defense Curl	defense_curl
Barrier	barrier
Light Screen	light_screen
Haze	haze
Reflect	reflect
Focus Energy	focus_energy
Bide	bide
Metronome	metronome
Mirror Move	mirror_move
Self-Destruct	self-destruct
Egg Bomb	egg_bomb
Lick	lick
Smog	smog
Sludge	sludge
Bone Club	bone_club
Fire Blast	fire_blast
Waterfall	waterfall
Clamp	clamp
Swift	swift
Skull Bash	skull_bash
Spike Cannon	spike_cannon
Constrict	constrict
Amnesia	amnesia
Kinesis	kinesis
Soft-Boiled	soft-boiled
High Jump Kick	high_jump_kick
Glare	glare
Dream Eater	dream_eater
Poison Gas	poison_gas
Barrage	barrage
Leech Life	leech_life
Lovely Kiss	lovely_kiss
Sky Attack	sky_attack
Transform	transform
Bubble	bubble
Dizzy Punch	dizzy_punch
Spore	spore
Flash	flash
Psywave	psywave
Splash	splash
Acid Armor	acid_armor
Crabhammer	crabhammer
Explosion	explosion
Fury Swipes	fury_swipes
Bonemerang	bonemerang
Rest	rest
Rock Slide	rock_slide
Hyper Fang	hyper_fang
Sharpen	sharpen
Conversion	conversion
Tri Attack	tri_attack
Super Fang	super_fang
Slash	slash
Substitute	substitute
Struggle	struggle
Sketch	sketch
Triple Kick	triple_kick
Thief	thief
Spider Web	spider_web
Mind Reader	mind_reader
Nightmare	nightmare
Flame Wheel	flame_wheel
Snore	snore
Curse	curse
Flail	flail
Conversion 2	conversion_2
Aeroblast	aeroblast
Cotton Spore	cotton_spore
Reversal	reversal
Spite	spite
Powder Snow	powder_snow
Protect	protect
Mach Punch	mach_punch
Scary Face	scary_face
Feint Attack	feint_attack
Sweet Kiss	sweet_kiss
Belly Drum	belly_drum
Sludge Bomb	sludge_bomb
Mud-Slap	mud-slap
Octazooka	octazooka
Spikes	spikes
Zap Cannon	zap_cannon
Foresight	foresight
Destiny Bond	destiny_bond
Perish Song	perish_song
Icy Wind	icy_wind
Detect	detect
Bone Rush	bone_rush
Lock-On	lock-on
Outrage	outrage
Sandstorm	sandstorm
Giga Drain	giga_drain
Endure	endure
Charm	charm
Rollout	rollout
False Swipe	false_swipe
Swagger	swagger
Milk Drink	milk_drink
Spark	spark
Fury Cutter	fury_cutter
Steel Wing	steel_wing
Mean Look	mean_look
Attract	attract
Sleep Talk	sleep_talk
Heal Bell	heal_bell
Return	return
Present	present
Frustration	frustration
Safeguard	safeguard
Pain Split	pain_split
Sacred Fire	sacred_fire
Magnitude	magnitude
Dynamic Punch	dynamic_punch
Megahorn	megahorn
Dragon Breath	dragon_breath
Baton Pass	baton_pass
Encore	encore
Pursuit	pursuit
Rapid Spin	rapid_spin
Sweet Scent	sweet_scent
Iron Tail	iron_tail
Metal Claw	metal_claw
Vital Throw	vital_throw
Morning Sun	morning_sun
Synthesis	synthesis
Moonlight	moonlight
Hidden Power	hidden_power
Cross Chop	cross_chop
Twister	twister
Rain Dance	rain_dance
Sunny Day	sunny_day
Crunch	crunch
Mirror Coat	mirror_coat
Psych Up	psych_up
Extreme Speed	extreme_speed
Ancient Power	ancient_power
Shadow Ball	shadow_ball
Future Sight	future_sight
Rock Smash	rock_smash
Whirlpool	whirlpool
Beat Up	beat_up
Fake Out	fake_out
Uproar	uproar
Stockpile	stockpile
Spit Up	spit_up
Swallow	swallow
Heat Wave	heat_wave
Hail	hail
Torment	torment
Flatter	flatter
Will-O-Wisp	will-o-wisp
Memento	memento
Facade	facade
Focus Punch	focus_punch
Smelling Salts	smelling_salts
Follow Me	follow_me
Nature Power	nature_power
Charge	charge
Taunt	taunt
Helping Hand	helping_hand
Trick	trick
Role Play	role_play
Wish	wish
Assist	assist
Ingrain	ingrain
Superpower	superpower
Magic Coat	magic_coat
Recycle	recycle
Revenge	revenge
Brick Break	brick_break
Yawn	yawn
Knock Off	knock_off
Endeavor	endeavor
Eruption	eruption
Skill Swap	skill_swap
Imprison	imprison
Refresh	refresh
Grudge	grudge
Snatch	snatch
Secret Power	secret_power
Dive	dive
Arm Thrust	arm_thrust
Camouflage	camouflage
Tail Glow	tail_glow
Luster Purge	luster_purge
Mist Ball	mist_ball
Feather Dance	feather_dance
Teeter Dance	teeter_dance
Blaze Kick	blaze_kick
Mud Sport	mud_sport
Ice Ball	ice_ball
Needle Arm	needle_arm
Slack Off	slack_off
Hyper Voice	hyper_voice
Poison Fang	poison_fang
Crush Claw	crush_claw
Blast Burn	blast_burn
Hydro Cannon	hydro_cannon
Meteor Mash	meteor_mash
Astonish	astonish
Weather Ball	weather_ball
Aromatherapy	aromatherapy
Fake Tears	fake_tears
Air Cutter	air_cutter
Overheat	overheat
Odor Sleuth	odor_sleuth
Rock Tomb	rock_tomb
Silver Wind	silver_wind
Metal Sound	metal_sound
Grass Whistle	grass_whistle
Tickle	tickle
Cosmic Power	cosmic_power
Water Spout	water_spout
Signal Beam	signal_beam
Shadow Punch	shadow_punch
Extrasensory	extrasensory
Sky Uppercut	sky_uppercut
Sand Tomb	sand_tomb
Sheer Cold	sheer_cold
Muddy Water	muddy_water
Bullet Seed	bullet_seed
Aerial Ace	aerial_ace
Icicle Spear	icicle_spear
Iron Defense	iron_defense
Block	block
Howl	howl
Dragon Claw	dragon_claw
Frenzy Plant	frenzy_plant
Bulk Up	bulk_up
Bounce	bounce
Mud Shot	mud_shot
Poison Tail	poison_tail
Covet	covet
Volt Tackle	volt_tackle
Magical Leaf	magical_leaf
Water Sport	water_sport
Calm Mind	calm_mind
Leaf Blade	leaf_blade
Dragon Dance	dragon_dance
Rock Blast	rock_blast
Shock Wave	shock_wave
Water Pulse	water_pulse
Doom Desire	doom_desire
Psycho Boost	psycho_boost
Roost	roost
Gravity	gravity
Miracle Eye	miracle_eye
Wake-Up Slap	wake-up_slap
Hammer Arm	hammer_arm
Gyro Ball	gyro_ball
Healing Wish	healing_wish
Brine	brine
Natural Gift	natural_gift
Feint	feint
Pluck	pluck
Tailwind	tailwind
Acupressure	acupressure
Metal Burst	metal_burst
U-turn	u-turn
Close Combat	close_combat
Payback	payback
Assurance	assurance
Embargo	embargo
Fling	fling
Psycho Shift	psycho_shift
Trump Card	trump_card
Heal Block	heal_block
Wring Out	wring_out
Power Trick	power_trick
Gastro Acid	gastro_acid
Lucky Chant	lucky_chant
Me First	me_first
Copycat	copycat
Power Swap	power_swap
Guard Swap	guard_swap
Punishment	punishment
Last Resort	last_resort
Worry Seed	worry_seed
Sucker Punch	sucker_punch
Toxic Spikes	toxic_spikes
Heart Swap	heart_swap
