MoveId|s	Index|i	TmSetId|s
hone_claws	1	genv
dragon_claw	2	genv
psyshock	3	genv
calm_mind	4	genv
roar	5	genv
toxic	6	genv
hail	7	genv
bulk_up	8	genv
venoshock	9	genv
hidden_power	10	genv
sunny_day	11	genv
taunt	12	genv
ice_beam	13	genv
blizzard	14	genv
hyper_beam	15	genv
light_screen	16	genv
protect	17	genv
rain_dance	18	genv
safeguard	20	genv
frustration	21	genv
solar_beam	22	genv
smack_down	23	genv
thunderbolt	24	genv
thunder	25	genv
earthquake	26	genv
return	27	genv
dig	28	genv
psychic	29	genv
shadow_ball	30	genv
brick_break	31	genv
double_team	32	genv
reflect	33	genv
sludge_wave	34	genv
flamethrower	35	genv
sludge_bomb	36	genv
sandstorm	37	genv
fire_blast	38	genv
rock_tomb	39	genv
aerial_ace	40	genv
torment	41	genv
facade	42	genv
flame_charge	43	genv
rest	44	genv
attract	45	genv
thief	46	genv
low_sweep	47	genv
round	48	genv
echoed_voice	49	genv
overheat	50	genv
focus_blast	52	genv
energy_ball	53	genv
false_swipe	54	genv
scald	55	genv
fling	56	genv
charge_beam	57	genv
sky_drop	58	genv
incinerate	59	genv
quash	60	genv
will-o-wisp	61	genv
acrobatics	62	genv
embargo	63	genv
explosion	64	genv
shadow_claw	65	genv
payback	66	genv
retaliate	67	genv
giga_impact	68	genv
rock_polish	69	genv
flash	70	genv
stone_edge	71	genv
volt_switch	72	genv
thunder_wave	73	genv
gyro_ball	74	genv
swords_dance	75	genv
struggle_bug	76	genv
psych_up	77	genv
bulldoze	78	genv
frost_breath	79	genv
rock_slide	80	genv
x-scissor	81	genv
dragon_tail	82	genv
poison_jab	84	genv
dream_eater	85	genv
grass_knot	86	genv
swagger	87	genv
u-turn	89	genv
substitute	90	genv
flash_cannon	91	genv
trick_room	92	genv
wild_charge	93	genv
rock_smash	94	genv
snarl	95	genv
telekinesis	19	genv
ally_switch	51	genv
work_up	83	genv
sleep_talk	88	genv
hone_claws	1	xy
dragon_claw	2	xy
psyshock	3	xy
calm_mind	4	xy
roar	5	xy
toxic	6	xy
hail	7	xy
bulk_up	8	xy
venoshock	9	xy
hidden_power	10	xy
sunny_day	11	xy
taunt	12	xy
ice_beam	13	xy
blizzard	14	xy
hyper_beam	15	xy
light_screen	16	xy
protect	17	xy
rain_dance	18	xy
roost	19	xy
safeguard	20	xy
frustration	21	xy
solar_beam	22	xy
smack_down	23	xy
thunderbolt	24	xy
thunder	25	xy
earthquake	26	xy
return	27	xy
dig	28	xy
psychic	29	xy
shadow_ball	30	xy
brick_break	31	xy
double_team	32	xy
reflect	33	xy
sludge_wave	34	xy
flamethrower	35	xy
sludge_bomb	36	xy
sandstorm	37	xy
fire_blast	38	xy
rock_tomb	39	xy
aerial_ace	40	xy
torment	41	xy
facade	42	xy
flame_charge	43	xy
rest	44	xy
attract	45	xy
thief	46	xy
low_sweep	47	xy
round	48	xy
echoed_voice	49	xy
overheat	50	xy
steel_wing	51	xy
focus_blast	52	xy
energy_ball	53	xy
false_swipe	54	xy
scald	55	xy
fling	56	xy
charge_beam	57	xy
sky_drop	58	xy
incinerate	59	xy
quash	60	xy
will-o-wisp	61	xy
acrobatics	62	xy
embargo	63	xy
explosion	64	xy
shadow_claw	65	xy
payback	66	xy
retaliate	67	xy
giga_impact	68	xy
rock_polish	69	xy
flash	70	xy
stone_edge	71	xy
volt_switch	72	xy
thunder_wave	73	xy
gyro_ball	74	xy
swords_dance	75	xy
struggle_bug	76	xy
psych_up	77	xy
bulldoze	78	xy
frost_breath	79	xy
rock_slide	80	xy
x-scissor	81	xy
dragon_tail	82	xy
infestation	83	xy
poison_jab	84	xy
dream_eater	85	xy
grass_knot	86	xy
swagger	87	xy
sleep_talk	88	xy
u-turn	89	xy
substitute	90	xy
flash_cannon	91	xy
trick_room	92	xy
wild_charge	93	xy
rock_smash	94	xy
snarl	95	xy
nature_power	96	xy
dark_pulse	97	xy
power-up_punch	98	xy
dazzling_gleam	99	xy
confide	100	xy
hone_claws	1	oras
dragon_claw	2	oras
psyshock	3	oras
calm_mind	4	oras
roar	5	oras
toxic	6	oras
hail	7	oras
bulk_up	8	oras
venoshock	9	oras
hidden_power	10	oras
sunny_day	11	oras
taunt	12	oras
ice_beam	13	oras
blizzard	14	oras
hyper_beam	15	oras
light_screen	16	oras
protect	17	oras
rain_dance	18	oras
roost	19	oras
safeguard	20	oras
frustration	21	oras
solar_beam	22	oras
smack_down	23	oras
thunderbolt	24	oras
thunder	25	oras
earthquake	26	oras
return	27	oras
dig	28	oras
psychic	29	oras
shadow_ball	30	oras
brick_break	31	oras
double_team	32	oras
reflect	33	oras
sludge_wave	34	oras
flamethrower	35	oras
sludge_bomb	36	oras
sandstorm	37	oras
fire_blast	38	oras
rock_tomb	39	oras
aerial_ace	40	oras
torment	41	oras
facade	42	oras
flame_charge	43	oras
rest	44	oras
attract	45	oras
thief	46	oras
low_sweep	47	oras
round	48	oras
echoed_voice	49	oras
overheat	50	oras
steel_wing	51	oras
focus_blast	52	oras
energy_ball	53	oras
false_swipe	54	oras
scald	55	oras
fling	56	oras
charge_beam	57	oras
sky_drop	58	oras
incinerate	59	oras
quash	60	oras
will-o-wisp	61	oras
acrobatics	62	oras
embargo	63	oras
explosion	64	oras
shadow_claw	65	oras
payback	66	oras
retaliate	67	oras
giga_impact	68	oras
rock_polish	69	oras
flash	70	oras
stone_edge	71	oras
volt_switch	72	oras
thunder_wave	73	oras
gyro_ball	74	oras
swords_dance	75	oras
struggle_bug	76	oras
psych_up	77	oras
bulldoze	78	oras
frost_breath	79	oras
rock_slide	80	oras
x-scissor	81	oras
dragon_tail	82	oras
infestation	83	oras
poison_jab	84	oras
dream_eater	85	oras
grass_knot	86	oras
swagger	87	oras
sleep_talk	88	oras
u-turn	89	oras
substitute	90	oras
flash_cannon	91	oras
trick_room	92	oras
wild_charge	93	oras
secret_power	94	oras
snarl	95	oras
nature_power	96	oras
dark_pulse	97	oras
power-up_punch	98	oras
dazzling_gleam	99	oras
confide	100	oras
