Index|s	Name|s	PokemonId|s
722	Rowlet	rowlet
723	Dartrix	dartrix
724	Decidueye	decidueye
725	Litten	litten
726	Torracat	torracat
727	Incineroar	incineroar
728	Popplio	popplio
729	Brionne	brionne
730	Primarina	primarina
731	Pikipek	pikipek
732	Trumbeak	trumbeak
733	Toucannon	toucannon
734	Yungoos	yungoos
735	Gumshoos	gumshoos
736	Grubbin	grubbin
737	Charjabug	charjabug
738	Vikavolt	vikavolt
739	Crabrawler	crabrawler
740	Crabominable	crabominable
741	Oricorio	oricorio
742	Cutiefly	cutiefly
743	Ribombee	ribombee
744	Rockruff	rockruff
745	Lycanroc	lycanroc
746	Wishiwashi	wishiwashi
747	Mareanie	mareanie
748	Toxapex	toxapex
749	Mudbray	mudbray
750	Mudsdale	mudsdale
751	Dewpider	dewpider
752	Araquanid	araquanid
753	Fomantis	fomantis
754	Lurantis	lurantis
755	Morelull	morelull
756	Shiinotic	shiinotic
757	Salandit	salandit
758	Salazzle	salazzle
759	Stufful	stufful
760	Bewear	bewear
761	Bounsweet	bounsweet
762	Steenee	steenee
763	Tsareena	tsareena
764	Comfey	comfey
765	Oranguru	oranguru
766	Passimian	passimian
767	Wimpod	wimpod
768	Golisopod	golisopod
769	Sandygast	sandygast
770	Palossand	palossand
771	Pyukumuku	pyukumuku
772	Type: Null	type: null
773	Silvally	silvally
774	Minior	minior
775	Komala	komala
776	Turtonator	turtonator
777	Togedemaru	togedemaru
778	Mimikyu	mimikyu
779	Bruxish	bruxish
780	Drampa	drampa
781	Dhelmise	dhelmise
782	Jangmo-o	jangmo-o
783	Hakamo-o	hakamo-o
784	Kommo-o	kommo-o
785	Tapu Koko	tapu koko
786	Tapu Lele	tapu lele
787	Tapu Bulu	tapu bulu
788	Tapu Fini	tapu fini
789	Cosmog	cosmog
790	Cosmoem	cosmoem
791	Solgaleo	solgaleo
792	Lunala	lunala
793	Nihilego	nihilego
794	Buzzwole	buzzwole
795	Pheromosa	pheromosa
796	Xurkitree	xurkitree
797	Celesteela	celesteela
798	Kartana	kartana
799	Guzzlord	guzzlord
800	Necrozma	necrozma
801	Magearna	magearna
802	Marshadow	marshadow
