PokemonId|s	PokedexId|s	Index|i
rowlet	national7	722
dartrix	national7	723
decidueye	national7	724
litten	national7	725
torracat	national7	726
incineroar	national7	727
popplio	national7	728
brionne	national7	729
primarina	national7	730
pikipek	national7	731
trumbeak	national7	732
toucannon	national7	733
yungoos	national7	734
gumshoos	national7	735
grubbin	national7	736
charjabug	national7	737
vikavolt	national7	738
crabrawler	national7	739
crabominable	national7	740
oricorio	national7	741
cutiefly	national7	742
ribombee	national7	743
rockruff	national7	744
lycanroc	national7	745
wishiwashi	national7	746
mareanie	national7	747
toxapex	national7	748
mudbray	national7	749
mudsdale	national7	750
dewpider	national7	751
araquanid	national7	752
fomantis	national7	753
lurantis	national7	754
morelull	national7	755
shiinotic	national7	756
salandit	national7	757
salazzle	national7	758
stufful	national7	759
bewear	national7	760
bounsweet	national7	761
steenee	national7	762
tsareena	national7	763
comfey	national7	764
oranguru	national7	765
passimian	national7	766
wimpod	national7	767
golisopod	national7	768
sandygast	national7	769
palossand	national7	770
pyukumuku	national7	771
type: null	national7	772
silvally	national7	773
minior	national7	774
komala	national7	775
turtonator	national7	776
togedemaru	national7	777
mimikyu	national7	778
bruxish	national7	779
drampa	national7	780
dhelmise	national7	781
jangmo-o	national7	782
hakamo-o	national7	783
kommo-o	national7	784
tapu koko	national7	785
tapu lele	national7	786
tapu bulu	national7	787
tapu fini	national7	788
cosmog	national7	789
cosmoem	national7	790
solgaleo	national7	791
lunala	national7	792
nihilego	national7	793
buzzwole	national7	794
pheromosa	national7	795
xurkitree	national7	796
celesteela	national7	797
kartana	national7	798
guzzlord	national7	799
necrozma	national7	800
magearna	national7	801
marshadow	national7	802
rowlet	gen7	1
dartrix	gen7	2
decidueye	gen7	3
litten	gen7	4
torracat	gen7	5
incineroar	gen7	6
popplio	gen7	7
brionne	gen7	8
primarina	gen7	9
pikipek	gen7	10
trumbeak	gen7	11
toucannon	gen7	12
yungoos	gen7	13
gumshoos	gen7	14
grubbin	gen7	15
charjabug	gen7	16
vikavolt	gen7	17
crabrawler	gen7	18
crabominable	gen7	19
oricorio	gen7	20
cutiefly	gen7	21
ribombee	gen7	22
rockruff	gen7	23
lycanroc	gen7	24
wishiwashi	gen7	25
mareanie	gen7	26
toxapex	gen7	27
mudbray	gen7	28
mudsdale	gen7	29
dewpider	gen7	30
araquanid	gen7	31
fomantis	gen7	32
lurantis	gen7	33
morelull	gen7	34
shiinotic	gen7	35
salandit	gen7	36
salazzle	gen7	37
stufful	gen7	38
bewear	gen7	39
bounsweet	gen7	40
steenee	gen7	41
tsareena	gen7	42
comfey	gen7	43
oranguru	gen7	44
passimian	gen7	45
wimpod	gen7	46
golisopod	gen7	47
sandygast	gen7	48
palossand	gen7	49
pyukumuku	gen7	50
type: null	gen7	51
silvally	gen7	52
minior	gen7	53
komala	gen7	54
turtonator	gen7	55
togedemaru	gen7	56
mimikyu	gen7	57
bruxish	gen7	58
drampa	gen7	59
dhelmise	gen7	60
jangmo-o	gen7	61
hakamo-o	gen7	62
kommo-o	gen7	63
tapu koko	gen7	64
tapu lele	gen7	65
tapu bulu	gen7	66
tapu fini	gen7	67
cosmog	gen7	68
cosmoem	gen7	69
solgaleo	gen7	70
lunala	gen7	71
nihilego	gen7	72
buzzwole	gen7	73
pheromosa	gen7	74
xurkitree	gen7	75
celesteela	gen7	76
kartana	gen7	77
guzzlord	gen7	78
necrozma	gen7	79
magearna	gen7	80
marshadow	gen7	81
rowlet	alolan7	1
dartrix	alolan7	2
decidueye	alolan7	3
litten	alolan7	4
torracat	alolan7	5
incineroar	alolan7	6
popplio	alolan7	7
brionne	alolan7	8
primarina	alolan7	9
pikipek	alolan7	10
trumbeak	alolan7	11
toucannon	alolan7	12
yungoos	alolan7	13
gumshoos	alolan7	14
rattata	alolan7	15
raticate	alolan7	16
caterpie	alolan7	17
metapod	alolan7	18
butterfree	alolan7	19
ledyba	alolan7	20
ledian	alolan7	21
spinarak	alolan7	22
ariados	alolan7	23
pichu	alolan7	24
pikachu	alolan7	25
raichu	alolan7	26
grubbin	alolan7	27
charjabug	alolan7	28
vikavolt	alolan7	29
bonsly	alolan7	30
sudowoodo	alolan7	31
happiny	alolan7	32
chansey	alolan7	33
blissey	alolan7	34
munchlax	alolan7	35
snorlax	alolan7	36
slowpoke	alolan7	37
slowbro	alolan7	38
slowking	alolan7	39
wingull	alolan7	40
pelipper	alolan7	41
abra	alolan7	42
kadabra	alolan7	43
alakazam	alolan7	44
meowth	alolan7	45
persian	alolan7	46
magnemite	alolan7	47
magneton	alolan7	48
magnezone	alolan7	49
grimer	alolan7	50
muk	alolan7	51
growlithe	alolan7	52
arcanine	alolan7	53
drowzee	alolan7	54
hypno	alolan7	55
makuhita	alolan7	56
hariyama	alolan7	57
smeargle	alolan7	58
crabrawler	alolan7	59
crabominable	alolan7	60
gastly	alolan7	61
haunter	alolan7	62
gengar	alolan7	63
drifloon	alolan7	64
drifblim	alolan7	65
misdreavus	alolan7	66
mismagius	alolan7	67
zubat	alolan7	68
golbat	alolan7	69
crobat	alolan7	70
diglett	alolan7	71
dugtrio	alolan7	72
spearow	alolan7	73
fearow	alolan7	74
rufflet	alolan7	75
braviary	alolan7	76
vullaby	alolan7	77
mandibuzz	alolan7	78
mankey	alolan7	79
primeape	alolan7	80
delibird	alolan7	81
oricorio	alolan7	82
cutiefly	alolan7	83
ribombee	alolan7	84
petilil	alolan7	85
lilligant	alolan7	86
cottonee	alolan7	87
whimsicott	alolan7	88
psyduck	alolan7	89
golduck	alolan7	90
magikarp	alolan7	91
gyarados	alolan7	92
barboach	alolan7	93
whiscash	alolan7	94
machop	alolan7	95
machoke	alolan7	96
machamp	alolan7	97
roggenrola	alolan7	98
boldore	alolan7	99
gigalith	alolan7	100
carbink	alolan7	101
sableye	alolan7	102
rockruff	alolan7	103
lycanroc	alolan7	104
spinda	alolan7	105
tentacool	alolan7	106
tentacruel	alolan7	107
finneon	alolan7	108
lumineon	alolan7	109
wishiwashi	alolan7	110
luvdisc	alolan7	111
corsola	alolan7	112
mareanie	alolan7	113
toxapex	alolan7	114
shellder	alolan7	115
cloyster	alolan7	116
bagon	alolan7	117
shelgon	alolan7	118
salamence	alolan7	119
lillipup	alolan7	120
herdier	alolan7	121
stoutland	alolan7	122
eevee	alolan7	123
vaporeon	alolan7	124
jolteon	alolan7	125
flareon	alolan7	126
espeon	alolan7	127
umbreon	alolan7	128
leafeon	alolan7	129
glaceon	alolan7	130
sylveon	alolan7	131
mudbray	alolan7	132
mudsdale	alolan7	133
igglybuff	alolan7	134
jigglypuff	alolan7	135
wigglytuff	alolan7	136
tauros	alolan7	137
miltank	alolan7	138
surskit	alolan7	139
masquerain	alolan7	140
dewpider	alolan7	141
araquanid	alolan7	142
fomantis	alolan7	143
lurantis	alolan7	144
morelull	alolan7	145
shiinotic	alolan7	146
paras	alolan7	147
parasect	alolan7	148
poliwag	alolan7	149
poliwhirl	alolan7	150
poliwrath	alolan7	151
politoed	alolan7	152
goldeen	alolan7	153
seaking	alolan7	154
feebas	alolan7	155
milotic	alolan7	156
alomomola	alolan7	157
fletchling	alolan7	158
fletchinder	alolan7	159
talonflame	alolan7	160
salandit	alolan7	161
salazzle	alolan7	162
cubone	alolan7	163
marowak	alolan7	164
kangaskhan	alolan7	165
magby	alolan7	166
magmar	alolan7	167
magmortar	alolan7	168
stufful	alolan7	169
bewear	alolan7	170
bounsweet	alolan7	171
steenee	alolan7	172
tsareena	alolan7	173
comfey	alolan7	174
pinsir	alolan7	175
oranguru	alolan7	176
passimian	alolan7	177
goomy	alolan7	178
sliggoo	alolan7	179
goodra	alolan7	180
castform	alolan7	181
wimpod	alolan7	182
golisopod	alolan7	183
staryu	alolan7	184
starmie	alolan7	185
sandygast	alolan7	186
palossand	alolan7	187
cranidos	alolan7	188
rampardos	alolan7	189
shieldon	alolan7	190
bastiodon	alolan7	191
archen	alolan7	192
archeops	alolan7	193
tirtouga	alolan7	194
carracosta	alolan7	195
phantump	alolan7	196
trevenant	alolan7	197
nosepass	alolan7	198
probopass	alolan7	199
pyukumuku	alolan7	200
chinchou	alolan7	201
lanturn	alolan7	202
type: null	alolan7	203
silvally	alolan7	204
zygarde	alolan7	205
trubbish	alolan7	206
garbodor	alolan7	207
skarmory	alolan7	208
ditto	alolan7	209
cleffa	alolan7	210
clefairy	alolan7	211
clefable	alolan7	212
minior	alolan7	213
beldum	alolan7	214
metang	alolan7	215
metagross	alolan7	216
porygon	alolan7	217
porygon2	alolan7	218
porygon-z	alolan7	219
pancham	alolan7	220
pangoro	alolan7	221
komala	alolan7	222
torkoal	alolan7	223
turtonator	alolan7	224
togedemaru	alolan7	225
elekid	alolan7	226
electabuzz	alolan7	227
electivire	alolan7	228
geodude	alolan7	229
graveler	alolan7	230
golem	alolan7	231
sandile	alolan7	232
krokorok	alolan7	233
krookodile	alolan7	234
trapinch	alolan7	235
vibrava	alolan7	236
flygon	alolan7	237
gible	alolan7	238
gabite	alolan7	239
garchomp	alolan7	240
klefki	alolan7	241
mimikyu	alolan7	242
bruxish	alolan7	243
drampa	alolan7	244
absol	alolan7	245
snorunt	alolan7	246
glalie	alolan7	247
froslass	alolan7	248
sneasel	alolan7	249
weavile	alolan7	250
sandshrew	alolan7	251
sandslash	alolan7	252
vulpix	alolan7	253
ninetales	alolan7	254
vanillite	alolan7	255
vanillish	alolan7	256
vanilluxe	alolan7	257
snubbull	alolan7	258
granbull	alolan7	259
shellos	alolan7	260
gastrodon	alolan7	261
relicanth	alolan7	262
dhelmise	alolan7	263
carvanha	alolan7	264
sharpedo	alolan7	265
wailmer	alolan7	266
wailord	alolan7	267
lapras	alolan7	268
exeggcute	alolan7	269
exeggutor	alolan7	270
jangmo-o	alolan7	271
hakamo-o	alolan7	272
kommo-o	alolan7	273
emolga	alolan7	274
scyther	alolan7	275
scizor	alolan7	276
murkrow	alolan7	277
honchkrow	alolan7	278
riolu	alolan7	279
lucario	alolan7	280
dratini	alolan7	281
dragonair	alolan7	282
dragonite	alolan7	283
aerodactyl	alolan7	284
tapu koko	alolan7	285
tapu lele	alolan7	286
tapu bulu	alolan7	287
tapu fini	alolan7	288
cosmog	alolan7	289
cosmoem	alolan7	290
solgaleo	alolan7	291
lunala	alolan7	292
nihilego	alolan7	293
buzzwole	alolan7	294
pheromosa	alolan7	295
xurkitree	alolan7	296
celesteela	alolan7	297
kartana	alolan7	298
guzzlord	alolan7	299
necrozma	alolan7	300
magearna	alolan7	301
marshadow	alolan7	302
rowlet	melemele7	1
dartrix	melemele7	2
decidueye	melemele7	3
litten	melemele7	4
torracat	melemele7	5
incineroar	melemele7	6
popplio	melemele7	7
brionne	melemele7	8
primarina	melemele7	9
pikipek	melemele7	10
trumbeak	melemele7	11
toucannon	melemele7	12
yungoos	melemele7	13
gumshoos	melemele7	14
rattata	melemele7	15
raticate	melemele7	16
caterpie	melemele7	17
metapod	melemele7	18
butterfree	melemele7	19
ledyba	melemele7	20
ledian	melemele7	21
spinarak	melemele7	22
ariados	melemele7	23
pichu	melemele7	24
pikachu	melemele7	25
raichu	melemele7	26
grubbin	melemele7	27
charjabug	melemele7	28
vikavolt	melemele7	29
bonsly	melemele7	30
sudowoodo	melemele7	31
happiny	melemele7	32
chansey	melemele7	33
blissey	melemele7	34
munchlax	melemele7	35
snorlax	melemele7	36
